13000;2.1778;2.1763;2.1719;2.1648;2.1551;2.1434;2.1301;2.116;2.1019;2.0874;2.0727;2.0571;2.0402;2.0221;2.0028;1.9825;1.9613;1.9422;1.923;1.9021
13500;2.1804;2.1789;2.1745;2.1674;2.1578;2.1462;2.1329;2.1189;2.1046;2.0902;2.0754;2.0597;2.0427;2.0246;2.0053;1.9851;1.9638;1.9447;1.9255;1.9045
14000;2.1831;2.1816;2.1772;2.1701;2.1605;2.1488;2.1356;2.1214;2.1073;2.0928;2.078;2.0623;2.0453;2.0271;2.0079;1.9876;1.9664;1.9473;1.928;1.907
1.05;0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8;0.85;0.9;0.95
0;1.6566;1.6545;1.6488;1.6392;1.6262;1.6101;1.5911;1.5698;1.5465;1.5218;1.4967;1.4721;1.4487;1.4265;1.4049;1.3826;1.36;1.3367;1.3123;1.2864
500;1.6706;1.6686;1.6629;1.6534;1.6403;1.624;1.6051;1.584;1.561;1.5367;1.5122;1.4882;1.4658;1.4445;1.423;1.401;1.3784;1.3549;1.3305;1.3051
1000;1.6851;1.6831;1.6773;1.6675;1.6545;1.6383;1.6194;1.5985;1.5758;1.552;1.5281;1.5049;1.4835;1.4628;1.4417;1.4198;1.3971;1.3734;1.3489;1.3235
1500;1.6996;1.6976;1.6917;1.682;1.669;1.653;1.6342;1.6132;1.591;1.5676;1.5445;1.5223;1.5017;1.4813;1.4605;1.4389;1.4161;1.3923;1.3676;1.3421
2000;1.7141;1.7122;1.7063;1.6967;1.6837;1.6678;1.6492;1.6285;1.6065;1.5837;1.5612;1.5402;1.5202;1.5001;1.4796;1.4582;1.4354;1.4115;1.3867;1.361
2500;1.7288;1.7269;1.7211;1.7116;1.6986;1.6828;1.6643;1.6438;1.622;1.5996;1.5779;1.5579;1.5388;1.5193;1.499;1.4776;1.4549;1.4311;1.4061;1.3803
3000;1.7435;1.7415;1.736;1.7266;1.7137;1.698;1.6797;1.6593;1.6375;1.6157;1.5949;1.5756;1.5571;1.5384;1.5186;1.4972;1.4746;1.4508;1.4258;1.3999
3500;1.7581;1.7562;1.7507;1.7414;1.7289;1.7134;1.6954;1.6749;1.6536;1.6323;1.6122;1.5934;1.5753;1.5573;1.5381;1.517;1.4944;1.4707;1.4458;1.4198
4000;1.7737;1.7718;1.7663;1.7571;1.7446;1.7292;1.711;1.6909;1.6701;1.6495;1.6297;1.6114;1.5937;1.576;1.5571;1.5368;1.5145;1.4908;1.466;1.4401
4500;1.7898;1.7879;1.7823;1.7735;1.7612;1.746;1.7281;1.708;1.6873;1.667;1.6476;1.6296;1.6123;1.5948;1.576;1.5559;1.5345;1.5112;1.4863;1.4605
5000;1.806;1.8042;1.7989;1.7901;1.7781;1.7632;1.7454;1.726;1.7059;1.6858;1.6663;1.6482;1.6311;1.6137;1.595;1.5751;1.5539;1.5315;1.5069;1.4811
5500;1.8227;1.8209;1.8157;1.8073;1.7956;1.7808;1.7634;1.7446;1.7248;1.705;1.6861;1.6685;1.6509;1.6328;1.6142;1.5944;1.5734;1.5511;1.5275;1.5018
6000;1.8396;1.8379;1.8328;1.8246;1.8133;1.7988;1.7819;1.7636;1.7441;1.7246;1.7062;1.6891;1.6718;1.6536;1.6341;1.6138;1.5929;1.5708;1.5475;1.5227
6500;1.8568;1.8551;1.8502;1.8422;1.8312;1.8171;1.8008;1.7826;1.7638;1.7446;1.7268;1.7099;1.6927;1.6747;1.6553;1.6346;1.6129;1.5906;1.5676;1.5433
7000;1.8741;1.8725;1.8678;1.8598;1.849;1.8355;1.8197;1.8023;1.7834;1.7649;1.7478;1.731;1.714;1.696;1.6767;1.6561;1.6342;1.6114;1.5876;1.5636
7500;1.8913;1.8897;1.885;1.8772;1.8669;1.8537;1.8385;1.8216;1.8038;1.7857;1.7689;1.7524;1.7355;1.7175;1.6983;1.6778;1.656;1.6331;1.6093;1.5845
8000;1.9084;1.9068;1.9023;1.8946;1.8844;1.8719;1.8571;1.8409;1.8238;1.8067;1.7903;1.7741;1.7573;1.7394;1.7202;1.6998;1.6782;1.6553;1.6313;1.6064
8500;1.9251;1.9236;1.9192;1.912;1.902;1.8898;1.8756;1.8601;1.8437;1.8274;1.8118;1.7957;1.7791;1.7615;1.7423;1.7219;1.7004;1.6777;1.6538;1.6287
9000;1.9416;1.9401;1.9358;1.9288;1.9193;1.9076;1.894;1.879;1.8635;1.8479;1.8329;1.8175;1.8013;1.7836;1.7647;1.7444;1.7229;1.7003;1.6766;1.6516
