# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/tawCalculatePolar_approach_design_000_plot.csv
# Clean Polar
# Mach Number 0.200000
AoA; C_L; C_Dtotal; C_M; L/D; i_stab;
-10.262;0.4500;0.071594;0.143043;6.285418;0.000000;
-10.152;0.4600;0.071665;0.140793;6.418712;0.000000;
-10.041;0.4700;0.071747;0.138543;6.550825;0.000000;
-9.931;0.4800;0.071838;0.136293;6.681706;0.000000;
-9.821;0.4900;0.071939;0.134042;6.811306;0.000000;
-9.710;0.5000;0.072051;0.131792;6.939575;0.000000;
-9.600;0.5100;0.072172;0.129542;7.066466;0.000000;
-9.489;0.5200;0.072303;0.127292;7.191933;0.000000;
-9.379;0.5300;0.072445;0.125042;7.315933;0.000000;
-9.269;0.5400;0.072596;0.122792;7.438421;0.000000;
-9.158;0.5500;0.072758;0.120541;7.559357;0.000000;
-9.048;0.5600;0.072929;0.118291;7.678702;0.000000;
-8.937;0.5700;0.073111;0.116041;7.796416;0.000000;
-8.827;0.5800;0.073302;0.113791;7.912465;0.000000;
-8.716;0.5900;0.073504;0.111541;8.026814;0.000000;
-8.606;0.6000;0.073715;0.109291;8.139429;0.000000;
-8.496;0.6100;0.073937;0.107040;8.250280;0.000000;
-8.385;0.6200;0.074169;0.104790;8.359338;0.000000;
-8.275;0.6300;0.074410;0.102540;8.466576;0.000000;
-8.164;0.6400;0.074662;0.100290;8.571967;0.000000;
-8.054;0.6500;0.074924;0.098040;8.675489;0.000000;
-7.944;0.6600;0.075196;0.095790;8.777119;0.000000;
-7.833;0.6700;0.075477;0.093540;8.876837;0.000000;
-7.723;0.6800;0.075769;0.091289;8.974625;0.000000;
-7.612;0.6900;0.076071;0.089039;9.070467;0.000000;
-7.502;0.7000;0.076383;0.086789;9.164347;0.000000;
-7.391;0.7100;0.076705;0.084539;9.256253;0.000000;
-7.281;0.7200;0.077037;0.082289;9.346174;0.000000;
-7.171;0.7300;0.077379;0.080039;9.434101;0.000000;
-7.060;0.7400;0.077731;0.077788;9.520025;0.000000;
-6.950;0.7500;0.078093;0.075538;9.603940;0.000000;
-6.839;0.7600;0.078465;0.073288;9.685843;0.000000;
-6.729;0.7700;0.078847;0.071038;9.765730;0.000000;
-6.619;0.7800;0.079239;0.068788;9.843601;0.000000;
-6.508;0.7900;0.079641;0.066538;9.919455;0.000000;
-6.398;0.8000;0.080054;0.064287;9.993294;0.000000;
-6.287;0.8100;0.080476;0.062037;10.065123;0.000000;
-6.177;0.8200;0.080908;0.059787;10.134945;0.000000;
-6.066;0.8300;0.081350;0.057537;10.202767;0.000000;
-5.956;0.8400;0.081803;0.055287;10.268596;0.000000;
-5.846;0.8500;0.082265;0.053037;10.332442;0.000000;
-5.735;0.8600;0.082738;0.050787;10.394313;0.000000;
-5.625;0.8700;0.083220;0.048536;10.454222;0.000000;
-5.514;0.8800;0.083712;0.046286;10.512181;0.000000;
-5.404;0.8900;0.084215;0.044036;10.568203;0.000000;
-5.294;0.9000;0.084727;0.041786;10.622303;0.000000;
-5.183;0.9100;0.085250;0.039536;10.674496;0.000000;
-5.073;0.9200;0.085782;0.037286;10.724799;0.000000;
-4.962;0.9300;0.086325;0.035035;10.773229;0.000000;
-4.852;0.9400;0.086878;0.032785;10.819805;0.000000;
-4.741;0.9500;0.087440;0.030535;10.864547;0.000000;
-4.631;0.9600;0.088013;0.028285;10.907472;0.000000;
-4.521;0.9700;0.088596;0.026035;10.948603;0.000000;
-4.410;0.9800;0.089189;0.023785;10.987961;0.000000;
-4.300;0.9900;0.089791;0.021534;11.025568;0.000000;
-4.189;1.0000;0.090404;0.019284;11.061445;0.000000;
-4.079;1.0100;0.091027;0.017034;11.095617;0.000000;
-3.969;1.0200;0.091660;0.014784;11.128106;0.000000;
-3.858;1.0300;0.092303;0.012534;11.158937;0.000000;
-3.748;1.0400;0.092956;0.010284;11.188134;0.000000;
-3.637;1.0500;0.093619;0.008034;11.215722;0.000000;
-3.527;1.0600;0.094292;0.005783;11.241727;0.000000;
-3.416;1.0700;0.094975;0.003533;11.266172;0.000000;
-3.306;1.0800;0.095668;0.001283;11.289085;0.000000;
-3.196;1.0900;0.096371;-0.000967;11.310491;0.000000;
-3.085;1.1000;0.097084;-0.003217;11.330417;0.000000;
-2.975;1.1100;0.097807;-0.005467;11.348888;0.000000;
-2.864;1.1200;0.098540;-0.007718;11.365930;0.000000;
-2.754;1.1300;0.099283;-0.009968;11.381571;0.000000;
-2.644;1.1400;0.100037;-0.012218;11.395837;0.000000;
-2.533;1.1500;0.100800;-0.014468;11.408755;0.000000;
-2.423;1.1600;0.101573;-0.016718;11.420350;0.000000;
-2.312;1.1700;0.102356;-0.018968;11.430650;0.000000;
-2.202;1.1800;0.103150;-0.021219;11.439681;0.000000;
-2.091;1.1900;0.103953;-0.023469;11.447469;0.000000;
-1.981;1.2000;0.104767;-0.025719;11.454042;0.000000;
-1.871;1.2100;0.105590;-0.027969;11.459424;0.000000;
-1.760;1.2200;0.106423;-0.030219;11.463643;0.000000;
-1.650;1.2300;0.107267;-0.032469;11.466724;0.000000;
-1.539;1.2400;0.108120;-0.034719;11.468693;0.000000;
-1.429;1.2500;0.108984;-0.036970;11.469575;0.000000;
-1.318;1.2600;0.109858;-0.039220;11.469396;0.000000;
-1.208;1.2700;0.110741;-0.041470;11.468181;0.000000;
-1.098;1.2800;0.111635;-0.043720;11.465956;0.000000;
-0.987;1.2900;0.112539;-0.045970;11.462743;0.000000;
-0.877;1.3000;0.113452;-0.048220;11.458569;0.000000;
-0.766;1.3100;0.114376;-0.050471;11.453457;0.000000;
-0.656;1.3200;0.115310;-0.052721;11.447431;0.000000;
-0.546;1.3300;0.116254;-0.054971;11.440515;0.000000;
-0.435;1.3400;0.117207;-0.057221;11.432732;0.000000;
-0.325;1.3500;0.118171;-0.059471;11.424105;0.000000;
-0.214;1.3600;0.119145;-0.061721;11.414656;0.000000;
-0.104;1.3700;0.120129;-0.063972;11.404409;0.000000;
0.007;1.3800;0.121123;-0.066222;11.393384;0.000000;
0.117;1.3900;0.122127;-0.068472;11.381604;0.000000;
0.227;1.4000;0.123141;-0.070722;11.369090;0.000000;
0.338;1.4100;0.124165;-0.072972;11.355863;0.000000;
0.448;1.4200;0.125199;-0.075222;11.341943;0.000000;
0.559;1.4300;0.126243;-0.077472;11.327352;0.000000;
0.669;1.4400;0.127297;-0.079723;11.312108;0.000000;
0.779;1.4500;0.128361;-0.081973;11.296233;0.000000;
0.890;1.4600;0.129436;-0.084223;11.279744;0.000000;
1.000;1.4700;0.130520;-0.086473;11.262661;0.000000;
1.111;1.4800;0.131614;-0.088723;11.245003;0.000000;
1.221;1.4900;0.132718;-0.090973;11.226787;0.000000;
1.332;1.5000;0.133833;-0.093224;11.208032;0.000000;
1.442;1.5100;0.134957;-0.095474;11.188755;0.000000;
1.552;1.5200;0.136091;-0.097724;11.168973;0.000000;
1.663;1.5300;0.137236;-0.099974;11.148703;0.000000;
1.773;1.5400;0.138390;-0.102224;11.127962;0.000000;
1.884;1.5500;0.139555;-0.104474;11.106766;0.000000;
1.994;1.5600;0.140729;-0.106725;11.085131;0.000000;
2.104;1.5700;0.141914;-0.108975;11.063072;0.000000;
2.215;1.5800;0.143108;-0.111225;11.040604;0.000000;
2.325;1.5900;0.144313;-0.113475;11.017743;0.000000;
2.436;1.6000;0.145527;-0.115725;10.994502;0.000000;
2.546;1.6100;0.146752;-0.117975;10.970896;0.000000;
2.657;1.6200;0.147987;-0.120226;10.946938;0.000000;
2.767;1.6300;0.149231;-0.122476;10.922643;0.000000;
2.877;1.6400;0.150486;-0.124726;10.898024;0.000000;
2.988;1.6500;0.151751;-0.126976;10.873092;0.000000;
3.098;1.6600;0.153026;-0.129226;10.847862;0.000000;
3.209;1.6700;0.154310;-0.131476;10.822346;0.000000;
3.319;1.6800;0.155605;-0.133726;10.796555;0.000000;
3.429;1.6900;0.156910;-0.135977;10.770501;0.000000;
3.540;1.7000;0.158225;-0.138227;10.744195;0.000000;
3.650;1.7100;0.159550;-0.140477;10.717650;0.000000;
3.761;1.7200;0.160885;-0.142727;10.690875;0.000000;
3.871;1.7300;0.162230;-0.144977;10.663881;0.000000;
3.982;1.7400;0.163585;-0.147227;10.636679;0.000000;
4.092;1.7500;0.164950;-0.149478;10.609279;0.000000;
4.202;1.7600;0.166325;-0.151728;10.581691;0.000000;
4.313;1.7700;0.167710;-0.153978;10.553924;0.000000;
4.423;1.7800;0.169105;-0.156228;10.525987;0.000000;
4.534;1.7900;0.170510;-0.158478;10.497890;0.000000;
4.644;1.8000;0.171926;-0.160728;10.469642;0.000000;
4.754;1.8100;0.173351;-0.162979;10.441250;0.000000;
4.865;1.8200;0.174786;-0.165229;10.412724;0.000000;
4.975;1.8300;0.176231;-0.167479;10.384072;0.000000;
5.086;1.8400;0.177687;-0.169729;10.355301;0.000000;
5.196;1.8500;0.179152;-0.171979;10.326420;0.000000;
5.307;1.8600;0.180628;-0.174229;10.297435;0.000000;
5.417;1.8700;0.182113;-0.176479;10.268355;0.000000;
5.527;1.8800;0.183608;-0.178730;10.239185;0.000000;
5.638;1.8900;0.185114;-0.180980;10.209934;0.000000;
5.748;1.9000;0.186629;-0.183230;10.180607;0.000000;
5.859;1.9100;0.188155;-0.185480;10.151212;0.000000;
5.969;1.9200;0.189690;-0.187730;10.121755;0.000000;
6.079;1.9300;0.191236;-0.189980;10.092241;0.000000;
6.190;1.9400;0.192792;-0.192231;10.062677;0.000000;
6.300;1.9500;0.194357;-0.194481;10.033068;0.000000;
6.411;1.9600;0.195933;-0.196731;10.003420;0.000000;
6.521;1.9700;0.197519;-0.198981;9.973740;0.000000;
6.632;1.9800;0.199114;-0.201231;9.944030;0.000000;
6.742;1.9900;0.200720;-0.203481;9.914298;0.000000;
6.852;2.0000;0.202336;-0.205732;9.884548;0.000000;
6.963;2.0100;0.203962;-0.207982;9.854784;0.000000;
7.073;2.0200;0.205598;-0.210232;9.825012;0.000000;
7.184;2.0300;0.207244;-0.212482;9.795236;0.000000;
7.294;2.0400;0.208900;-0.214732;9.765460;0.000000;
7.404;2.0500;0.210565;-0.216982;9.735689;0.000000;
7.515;2.0600;0.212241;-0.219232;9.705927;0.000000;
7.625;2.0700;0.213927;-0.221483;9.676177;0.000000;
7.736;2.0800;0.215624;-0.223733;9.646444;0.000000;
7.846;2.0900;0.217330;-0.225983;9.616730;0.000000;
7.957;2.1000;0.219046;-0.228233;9.587041;0.000000;
8.067;2.1100;0.220772;-0.230483;9.557379;0.000000;
8.177;2.1200;0.222508;-0.232733;9.527748;0.000000;
8.288;2.1300;0.224254;-0.234984;9.498151;0.000000;
8.398;2.1400;0.226010;-0.237234;9.468591;0.000000;
8.509;2.1500;0.227777;-0.239484;9.439071;0.000000;
8.619;2.1600;0.229553;-0.241734;9.409595;0.000000;
8.729;2.1700;0.231339;-0.243984;9.380164;0.000000;
8.840;2.1800;0.233136;-0.246234;9.350782;0.000000;
8.950;2.1900;0.234942;-0.248485;9.321451;0.000000;
9.061;2.2000;0.236758;-0.250735;9.292175;0.000000;
9.171;2.2100;0.238585;-0.252985;9.262954;0.000000;
9.282;2.2200;0.240421;-0.255235;9.233793;0.000000;
9.392;2.2300;0.242268;-0.257485;9.204692;0.000000;
9.502;2.2400;0.244124;-0.259735;9.175655;0.000000;
9.613;2.2500;0.245991;-0.261985;9.146683;0.000000;
9.723;2.2600;0.247867;-0.264236;9.117779;0.000000;
9.834;2.2700;0.249754;-0.266486;9.088943;0.000000;
9.944;2.2800;0.251651;-0.268736;9.060179;0.000000;
10.054;2.2900;0.253557;-0.270986;9.031489;0.000000;
10.165;2.3000;0.255474;-0.273236;9.002872;0.000000;
10.275;2.3100;0.257401;-0.275486;8.974333;0.000000;
10.386;2.3200;0.259338;-0.277737;8.945871;0.000000;
10.496;2.3300;0.261284;-0.279987;8.917489;0.000000;
10.607;2.3400;0.263241;-0.282237;8.889189;0.000000;
10.717;2.3500;0.265208;-0.284487;8.860970;0.000000;
10.827;2.3600;0.267185;-0.286737;8.832836;0.000000;
10.938;2.3700;0.269172;-0.288987;8.804787;0.000000;
11.048;2.3800;0.271169;-0.291238;8.776824;0.000000;
11.159;2.3900;0.273176;-0.293488;8.748949;0.000000;
