# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/tawCalculatePolar_M063_design_000_plot.csv
# Clean Polar
# Mach Number 0.630000
AoA; C_L; C_Dtotal; C_Dind; C_Dvisc; C_Dwave; C_M; L/D; i_stab; C_Dvisc_wing; C_Dwave_wing; C_Dvisc_stab; C_Dwave_stab; C_Dind_stab; C_L_stab
-4.968;-0.3000;0.023369;0.005575;0.017794;0.000000;0.041953;-12.83755;0.000000;0.005047;0.000000;0.001091;0.000000;0.002638;-0.055973;
-4.876;-0.2900;0.023099;0.005315;0.017784;0.000000;0.039481;-12.55477;0.000000;0.005036;0.000000;0.001091;0.000000;0.002539;-0.055075;
-4.784;-0.2800;0.022837;0.005063;0.017775;0.000000;0.037009;-12.26069;0.000000;0.005027;0.000000;0.001091;0.000000;0.002442;-0.054177;
-4.691;-0.2700;0.022584;0.004818;0.017766;0.000000;0.034537;-11.95529;0.000000;0.005019;0.000000;0.001091;0.000000;0.002347;-0.053279;
-4.599;-0.2600;0.022340;0.004581;0.017759;0.000000;0.032065;-11.63856;0.000000;0.005011;0.000000;0.001091;0.000000;0.002253;-0.052380;
-4.507;-0.2500;0.022103;0.004351;0.017752;0.000000;0.029593;-11.31052;0.000000;0.005005;0.000000;0.001091;0.000000;0.002161;-0.051482;
-4.414;-0.2400;0.021875;0.004129;0.017746;0.000000;0.027121;-10.97121;0.000000;0.004999;0.000000;0.001091;0.000000;0.002071;-0.050584;
-4.322;-0.2300;0.021656;0.003915;0.017741;0.000000;0.024649;-10.62070;0.000000;0.004993;0.000000;0.001091;0.000000;0.001983;-0.049685;
-4.229;-0.2200;0.021444;0.003708;0.017736;0.000000;0.022177;-10.25906;0.000000;0.004989;0.000000;0.001091;0.000000;0.001897;-0.048787;
-4.137;-0.2100;0.021241;0.003509;0.017733;0.000000;0.019705;-9.88643;0.000000;0.004985;0.000000;0.001091;0.000000;0.001812;-0.047889;
-4.045;-0.2000;0.021046;0.003317;0.017729;0.000000;0.017233;-9.50292;0.000000;0.004982;0.000000;0.001091;0.000000;0.001729;-0.046990;
-3.952;-0.1900;0.020859;0.003133;0.017726;0.000000;0.014762;-9.10871;0.000000;0.004979;0.000000;0.001091;0.000000;0.001648;-0.046086;
-3.860;-0.1800;0.020680;0.002957;0.017724;0.000000;0.012290;-8.70399;0.000000;0.004976;0.000000;0.001091;0.000000;0.001568;-0.045178;
-3.768;-0.1700;0.020509;0.002788;0.017721;0.000000;0.009818;-8.28897;0.000000;0.004974;0.000000;0.001091;0.000000;0.001490;-0.044271;
-3.675;-0.1600;0.020346;0.002627;0.017720;0.000000;0.007346;-7.86389;0.000000;0.004972;0.000000;0.001091;0.000000;0.001413;-0.043363;
-3.583;-0.1500;0.020191;0.002473;0.017718;0.000000;0.004874;-7.42904;0.000000;0.004971;0.000000;0.001091;0.000000;0.001339;-0.042455;
-3.491;-0.1400;0.020044;0.002327;0.017717;0.000000;0.002402;-6.98471;0.000000;0.004969;0.000000;0.001091;0.000000;0.001266;-0.041547;
-3.398;-0.1300;0.019904;0.002188;0.017716;0.000000;-0.000070;-6.53122;0.000000;0.004968;0.000000;0.001091;0.000000;0.001195;-0.040640;
-3.306;-0.1200;0.019773;0.002058;0.017715;0.000000;-0.002542;-6.06893;0.000000;0.004968;0.000000;0.001091;0.000000;0.001126;-0.039732;
