# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/tawCalculatePolar_takeoff_design_-600_plot.csv
# Clean Polar
# Mach Number 0.200000
AoA; C_L; C_Dtotal; C_M; L/D; i_stab;
-5.998;0.4200;0.045622;0.469529;9.206174;-6.000000;
-5.888;0.4300;0.045735;0.467174;9.402002;-6.000000;
-5.778;0.4400;0.045859;0.464820;9.594729;-6.000000;
-5.668;0.4500;0.045992;0.462465;9.784252;-6.000000;
-5.558;0.4600;0.046136;0.460110;9.970474;-6.000000;
-5.448;0.4700;0.046290;0.457756;10.153303;-6.000000;
-5.338;0.4800;0.046455;0.455401;10.332651;-6.000000;
-5.228;0.4900;0.046629;0.453046;10.508439;-6.000000;
-5.118;0.5000;0.046814;0.450691;10.680591;-6.000000;
-5.007;0.5100;0.047009;0.448337;10.849038;-6.000000;
-4.897;0.5200;0.047214;0.445982;11.013718;-6.000000;
-4.787;0.5300;0.047429;0.443627;11.174572;-6.000000;
-4.677;0.5400;0.047655;0.441272;11.331550;-6.000000;
-4.567;0.5500;0.047890;0.438918;11.484605;-6.000000;
-4.457;0.5600;0.048136;0.436563;11.633699;-6.000000;
-4.347;0.5700;0.048392;0.434208;11.778798;-6.000000;
-4.237;0.5800;0.048658;0.431853;11.919874;-6.000000;
-4.127;0.5900;0.048935;0.429499;12.056903;-6.000000;
-4.016;0.6000;0.049221;0.427144;12.189870;-6.000000;
-3.906;0.6100;0.049518;0.424789;12.318762;-6.000000;
-3.796;0.6200;0.049825;0.422434;12.443574;-6.000000;
-3.686;0.6300;0.050142;0.420080;12.564305;-6.000000;
-3.576;0.6400;0.050469;0.417725;12.680957;-6.000000;
-3.466;0.6500;0.050807;0.415370;12.793540;-6.000000;
-3.356;0.6600;0.051155;0.413016;12.902067;-6.000000;
-3.246;0.6700;0.051512;0.410661;13.006556;-6.000000;
-3.136;0.6800;0.051881;0.408306;13.107029;-6.000000;
-3.025;0.6900;0.052259;0.405951;13.203512;-6.000000;
-2.915;0.7000;0.052647;0.403597;13.296034;-6.000000;
-2.805;0.7100;0.053046;0.401242;13.384630;-6.000000;
-2.695;0.7200;0.053455;0.398887;13.469337;-6.000000;
-2.585;0.7300;0.053874;0.396532;13.550195;-6.000000;
-2.475;0.7400;0.054303;0.394178;13.627248;-6.000000;
-2.365;0.7500;0.054742;0.391823;13.700543;-6.000000;
-2.255;0.7600;0.055192;0.389468;13.770128;-6.000000;
-2.145;0.7700;0.055652;0.387113;13.836055;-6.000000;
-2.034;0.7800;0.056122;0.384759;13.898378;-6.000000;
