# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/tawCalculatePolar_M073_design_600_plot.csv
# Clean Polar
# Mach Number 0.730000
AoA; C_L; C_Dtotal; C_Dind; C_Dvisc; C_Dwave; C_M; L/D; i_stab; C_Dvisc_wing; C_Dwave_wing; C_Dvisc_stab; C_Dwave_stab; C_Dind_stab; C_L_stab
-4.950;-0.2000;0.019870;0.002531;0.017339;0.000000;-0.453620;-10.06534;6.000000;0.004935;0.000000;0.001077;0.000000;-0.000904;0.053872;
-4.864;-0.1900;0.019731;0.002395;0.017336;0.000000;-0.456197;-9.62941;6.000000;0.004932;0.000000;0.001077;0.000000;-0.000875;0.054781;
-4.777;-0.1800;0.019600;0.002266;0.017334;0.000000;-0.458774;-9.18359;6.000000;0.004930;0.000000;0.001077;0.000000;-0.000845;0.055690;
-4.691;-0.1700;0.019477;0.002145;0.017332;0.000000;-0.461352;-8.72823;6.000000;0.004928;0.000000;0.001077;0.000000;-0.000812;0.056599;
-4.604;-0.1600;0.019362;0.002032;0.017330;0.000000;-0.463929;-8.26372;6.000000;0.004926;0.000000;0.001077;0.000000;-0.000777;0.057508;
-4.518;-0.1500;0.019254;0.001926;0.017328;0.000000;-0.466506;-7.79049;6.000000;0.004924;0.000000;0.001077;0.000000;-0.000740;0.058416;
-4.431;-0.1400;0.019155;0.001827;0.017327;0.000000;-0.469083;-7.30897;6.000000;0.004923;0.000000;0.001077;0.000000;-0.000701;0.059325;
-4.345;-0.1300;0.019063;0.001736;0.017326;0.000000;-0.471660;-6.81965;6.000000;0.004922;0.000000;0.001077;0.000000;-0.000660;0.060234;
-4.258;-0.1200;0.018978;0.001653;0.017325;0.000000;-0.474237;-6.32301;6.000000;0.004921;0.000000;0.001077;0.000000;-0.000617;0.061143;
-4.172;-0.1100;0.018902;0.001577;0.017325;0.000000;-0.476814;-5.81958;6.000000;0.004921;0.000000;0.001077;0.000000;-0.000572;0.062052;
-4.085;-0.1000;0.018833;0.001508;0.017324;0.000000;-0.479391;-5.30989;6.000000;0.004920;0.000000;0.001077;0.000000;-0.000525;0.062961;
-3.999;-0.0900;0.018772;0.001447;0.017324;0.000000;-0.481969;-4.79450;6.000000;0.004920;0.000000;0.001077;0.000000;-0.000476;0.063870;
-3.912;-0.0800;0.018718;0.001394;0.017324;0.000000;-0.484546;-4.27400;6.000000;0.004920;0.000000;0.001077;0.000000;-0.000425;0.064776;
-3.826;-0.0700;0.018672;0.001348;0.017324;0.000000;-0.487123;-3.74898;6.000000;0.004920;0.000000;0.001077;0.000000;-0.000372;0.065682;
-3.739;-0.0600;0.018633;0.001310;0.017324;0.000000;-0.489700;-3.22005;6.000000;0.004919;0.000000;0.001077;0.000000;-0.000317;0.066588;
-3.653;-0.0500;0.018602;0.001279;0.017323;0.000000;-0.492277;-2.68783;6.000000;0.004919;0.000000;0.001077;0.000000;-0.000260;0.067494;
-3.566;-0.0400;0.018579;0.001256;0.017323;0.000000;-0.494854;-2.15297;6.000000;0.004919;0.000000;0.001077;0.000000;-0.000201;0.068400;
-3.480;-0.0300;0.018563;0.001240;0.017323;0.000000;-0.497431;-1.61610;6.000000;0.004919;0.000000;0.001077;0.000000;-0.000140;0.069307;
-3.393;-0.0200;0.018555;0.001231;0.017323;0.000000;-0.500008;-1.07788;6.000000;0.004919;0.000000;0.001077;0.000000;-0.000077;0.070213;
-3.307;-0.0100;0.018554;0.001231;0.017323;0.000000;-0.502586;-0.53896;6.000000;0.004919;0.000000;0.001077;0.000000;-0.000012;0.071119;
-3.220;0.0000;0.018561;0.001238;0.017323;0.000000;-0.505163;0.00000;6.000000;0.004919;0.000000;0.001077;0.000000;0.000054;0.072025;
-3.134;0.0100;0.018575;0.001252;0.017323;0.000000;-0.507740;0.53835;6.000000;0.004919;0.000000;0.001077;0.000000;0.000123;0.072931;
-3.047;0.0200;0.018597;0.001274;0.017323;0.000000;-0.510317;1.07543;6.000000;0.004919;0.000000;0.001077;0.000000;0.000194;0.073837;
-2.961;0.0300;0.018627;0.001303;0.017323;0.000000;-0.512894;1.61060;6.000000;0.004919;0.000000;0.001077;0.000000;0.000267;0.074743;
-2.874;0.0400;0.018664;0.001340;0.017323;0.000000;-0.515471;2.14321;6.000000;0.004919;0.000000;0.001077;0.000000;0.000342;0.075649;
-2.788;0.0500;0.018708;0.001385;0.017323;0.000000;-0.518048;2.67263;6.000000;0.004919;0.000000;0.001077;0.000000;0.000419;0.076555;
-2.701;0.0600;0.018760;0.001437;0.017324;0.000000;-0.520625;3.19825;6.000000;0.004919;0.000000;0.001077;0.000000;0.000498;0.077462;
-2.615;0.0700;0.018820;0.001496;0.017324;0.000000;-0.523203;3.71944;6.000000;0.004920;0.000000;0.001077;0.000000;0.000579;0.078368;
-2.528;0.0800;0.018887;0.001564;0.017324;0.000000;-0.525780;4.23564;6.000000;0.004920;0.000000;0.001077;0.000000;0.000662;0.079274;
-2.442;0.0900;0.018962;0.001638;0.017324;0.000000;-0.528357;4.74625;6.000000;0.004920;0.000000;0.001077;0.000000;0.000747;0.080180;
-2.355;0.1000;0.019045;0.001721;0.017324;0.000000;-0.530934;5.25073;6.000000;0.004920;0.000000;0.001077;0.000000;0.000834;0.081086;
-2.269;0.1100;0.019135;0.001810;0.017325;0.000000;-0.533511;5.74854;6.000000;0.004921;0.000000;0.001077;0.000000;0.000923;0.081992;
-2.182;0.1200;0.019233;0.001908;0.017325;0.000000;-0.536088;6.23917;6.000000;0.004921;0.000000;0.001077;0.000000;0.001014;0.082898;
-2.095;0.1300;0.019339;0.002013;0.017326;0.000000;-0.538665;6.72214;6.000000;0.004922;0.000000;0.001077;0.000000;0.001107;0.083804;
-2.009;0.1400;0.019453;0.002125;0.017327;0.000000;-0.541243;7.19697;6.000000;0.004923;0.000000;0.001077;0.000000;0.001202;0.084710;
-1.922;0.1500;0.019574;0.002246;0.017328;0.000000;-0.543820;7.66323;6.000000;0.004924;0.000000;0.001077;0.000000;0.001299;0.085612;
-1.836;0.1600;0.019703;0.002373;0.017330;0.000000;-0.546397;8.12052;6.000000;0.004926;0.000000;0.001077;0.000000;0.001397;0.086512;
-1.749;0.1700;0.019840;0.002508;0.017332;0.000000;-0.548974;8.56844;6.000000;0.004928;0.000000;0.001077;0.000000;0.001498;0.087413;
-1.663;0.1800;0.019986;0.002652;0.017334;0.000000;-0.551551;9.00645;6.000000;0.004930;0.000000;0.001077;0.000000;0.001600;0.088313;
-1.576;0.1900;0.020140;0.002804;0.017336;0.000000;-0.554128;9.43394;6.000000;0.004932;0.000000;0.001077;0.000000;0.001704;0.089214;
-1.490;0.2000;0.020302;0.002963;0.017339;0.000000;-0.556705;9.85118;6.000000;0.004935;0.000000;0.001077;0.000000;0.001811;0.090115;
-1.403;0.2100;0.020472;0.003129;0.017343;0.000000;-0.559282;10.25791;6.000000;0.004939;0.000000;0.001077;0.000000;0.001919;0.091015;
-1.317;0.2200;0.020650;0.003303;0.017347;0.000000;-0.561860;10.65389;6.000000;0.004943;0.000000;0.001077;0.000000;0.002029;0.091916;
-1.230;0.2300;0.020835;0.003484;0.017351;0.000000;-0.564437;11.03890;6.000000;0.004947;0.000000;0.001077;0.000000;0.002142;0.092816;
