# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/systems_design_design_mission_power_accumulated_power_plot.csv
# (1) MissionsStep; (2) BleedAir [kg/s]; (3) Electric [W]; (4) Hydraulic [W] 
1; 1.98314;57498.6;4959.72;
2; 3.16604;57498.3;4958.59;
3; 3.12483;57497.1;4954.49;
4; 3.10638;57991.6;6615.36;
5; 3.11106;59063.1;10213.7;
6; 3.01502;57950.9;12040;
7; 2.93639;61566.9;14380.6;
8; 0.924694;66351.9;16085;
9; 0.924694;66234;15689.1;
10; 0.924694;66426.6;16335.9;
11; 0.924694;66398.3;16240.8;
12; 0.924694;66366;16132.5;
13; 0.924694;66544.2;16730.9;
14; 2.92092;59489.2;14380.6;
15; 3.01402;58792.2;12040;
16; 3.10559;57743.3;8517.41;
17; 3.10179;56871.1;5588.6;
18; 3.10043;56559.8;4542.93;
19; 3.11981;56281.1;3607.25;
20; 3.14025;56242.3;3476.86;
21; 3.14695;56204.2;3348.79;
22; 3.16686;56204.5;3349.84;
23; 3.17734;55456.6;838.159;
