# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/tawCalculatePolar_approach_design_-600_plot.csv
# Clean Polar
# Mach Number 0.200000
AoA; C_L; C_Dtotal; C_M; L/D; i_stab;
-9.530;0.4200;0.074037;0.529529;5.672817;-6.000000;
-9.420;0.4300;0.074049;0.527174;5.806982;-6.000000;
-9.310;0.4400;0.074070;0.524820;5.940288;-6.000000;
-9.200;0.4500;0.074102;0.522465;6.072680;-6.000000;
-9.090;0.4600;0.074144;0.520110;6.204106;-6.000000;
-8.980;0.4700;0.074197;0.517756;6.334513;-6.000000;
-8.870;0.4800;0.074259;0.515401;6.463850;-6.000000;
-8.759;0.4900;0.074332;0.513046;6.592066;-6.000000;
-8.649;0.5000;0.074415;0.510691;6.719111;-6.000000;
-8.539;0.5100;0.074508;0.508337;6.844938;-6.000000;
-8.429;0.5200;0.074611;0.505982;6.969500;-6.000000;
-8.319;0.5300;0.074724;0.503627;7.092750;-6.000000;
-8.209;0.5400;0.074848;0.501272;7.214644;-6.000000;
-8.099;0.5500;0.074982;0.498918;7.335140;-6.000000;
-7.989;0.5600;0.075125;0.496563;7.454196;-6.000000;
-7.879;0.5700;0.075280;0.494208;7.571772;-6.000000;
-7.768;0.5800;0.075444;0.491853;7.687828;-6.000000;
-7.658;0.5900;0.075618;0.489499;7.802329;-6.000000;
-7.548;0.6000;0.075803;0.487144;7.915239;-6.000000;
-7.438;0.6100;0.075998;0.484789;8.026524;-6.000000;
-7.328;0.6200;0.076203;0.482434;8.136152;-6.000000;
-7.218;0.6300;0.076418;0.480080;8.244092;-6.000000;
-7.108;0.6400;0.076644;0.477725;8.350315;-6.000000;
-6.998;0.6500;0.076879;0.475370;8.454795;-6.000000;
-6.888;0.6600;0.077125;0.473016;8.557506;-6.000000;
-6.777;0.6700;0.077381;0.470661;8.658424;-6.000000;
-6.667;0.6800;0.077647;0.468306;8.757527;-6.000000;
-6.557;0.6900;0.077924;0.465951;8.854796;-6.000000;
-6.447;0.7000;0.078210;0.463597;8.950211;-6.000000;
-6.337;0.7100;0.078507;0.461242;9.043755;-6.000000;
-6.227;0.7200;0.078814;0.458887;9.135414;-6.000000;
-6.117;0.7300;0.079131;0.456532;9.225173;-6.000000;
-6.007;0.7400;0.079459;0.454178;9.313022;-6.000000;
-5.897;0.7500;0.079796;0.451823;9.398950;-6.000000;
-5.786;0.7600;0.080144;0.449468;9.482949;-6.000000;
-5.676;0.7700;0.080502;0.447113;9.565011;-6.000000;
-5.566;0.7800;0.080870;0.444759;9.645132;-6.000000;
-5.456;0.7900;0.081248;0.442404;9.723307;-6.000000;
-5.346;0.8000;0.081637;0.440049;9.799535;-6.000000;
-5.236;0.8100;0.082035;0.437695;9.873814;-6.000000;
-5.126;0.8200;0.082444;0.435340;9.946145;-6.000000;
-5.016;0.8300;0.082863;0.432985;10.016532;-6.000000;
-4.906;0.8400;0.083292;0.430630;10.084976;-6.000000;
-4.795;0.8500;0.083732;0.428276;10.151483;-6.000000;
-4.685;0.8600;0.084181;0.425921;10.216059;-6.000000;
-4.575;0.8700;0.084641;0.423566;10.278712;-6.000000;
-4.465;0.8800;0.085111;0.421211;10.339450;-6.000000;
-4.355;0.8900;0.085591;0.418857;10.398283;-6.000000;
-4.245;0.9000;0.086081;0.416502;10.455223;-6.000000;
-4.135;0.9100;0.086582;0.414147;10.510280;-6.000000;
-4.025;0.9200;0.087093;0.411792;10.563469;-6.000000;
-3.914;0.9300;0.087613;0.409438;10.614803;-6.000000;
-3.804;0.9400;0.088145;0.407083;10.664298;-6.000000;
