# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/systems_design_requirement_mission_power_ATA-36_plot.csv
# (1) MissionsStep; (2) BleedAir [kg/s]; (3) Electric [W]; (4) Hydraulic [W]; (5) Altitude [ft]; (6) Mach [-]; (7) Heat load [W]
1; 2.08751;0;0;0;0.24188;0;
2; 3.33269;0;0;228.6;0.24517;0;
3; 3.28931;0;0;685.8;0.251873;0;
4; 3.2699;0;0;914.4;0.295077;0;
5; 3.27482;0;0;914.4;0.366648;0;
6; 3.17372;0;0;1981.2;0.425349;0;
7; 3.09095;0;0;3048;0.496658;0;
8; 0.973362;0;0;6553.2;0.660523;0;
9; 0.973362;0;0;10058.4;0.745418;0;
10; 0.973362;0;0;5486.4;0.554632;0;
11; 3.26906;0;0;914.4;0.334821;0;
12; 3.26506;0;0;914.4;0.271213;0;
13; 3.26363;0;0;914.4;0.244527;0;
14; 3.28403;0;0;685.8;0.214917;0;
15; 3.30554;0;0;457.2;0.208112;0;
16; 3.3126;0;0;381;0.203315;0;
17; 3.33356;0;0;160.02;0.200686;0;
18; 3.34458;0;0;7.62;0.0994874;0;
