# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/tawCalculatePolar_takeoff_landing_gear_retracted_design_600_plot.csv
# Clean Polar
# Mach Number 0.200000
AoA; C_L; C_Dtotal; C_M; L/D; i_stab;
-8.203;0.4100;0.014374;-0.291837;28.524531;6.000000;
-8.093;0.4200;0.014535;-0.294091;28.895764;6.000000;
-7.982;0.4300;0.014706;-0.296344;29.239140;6.000000;
-7.872;0.4400;0.014888;-0.298597;29.554936;6.000000;
-7.761;0.4500;0.015079;-0.300851;29.843524;6.000000;
-7.651;0.4600;0.015280;-0.303104;30.105365;6.000000;
-7.540;0.4700;0.015491;-0.305357;30.340997;6.000000;
-7.430;0.4800;0.015711;-0.307611;30.551030;6.000000;
-7.319;0.4900;0.015942;-0.309864;30.736137;6.000000;
-7.208;0.5000;0.016183;-0.312118;30.897044;6.000000;
-7.098;0.5100;0.016433;-0.314371;31.034523;6.000000;
-6.987;0.5200;0.016694;-0.316624;31.149384;6.000000;
-6.877;0.5300;0.016964;-0.318878;31.242469;6.000000;
-6.766;0.5400;0.017244;-0.321131;31.314640;6.000000;
-6.656;0.5500;0.017534;-0.323384;31.366778;6.000000;
-6.545;0.5600;0.017835;-0.325638;31.399775;6.000000;
-6.435;0.5700;0.018144;-0.327891;31.414525;6.000000;
-6.324;0.5800;0.018464;-0.330145;31.411924;6.000000;
-6.214;0.5900;0.018794;-0.332398;31.392861;6.000000;
-6.103;0.6000;0.019134;-0.334651;31.358218;6.000000;
-5.992;0.6100;0.019483;-0.336905;31.308863;6.000000;
-5.882;0.6200;0.019843;-0.339158;31.245646;6.000000;
-5.771;0.6300;0.020212;-0.341411;31.169400;6.000000;
-5.661;0.6400;0.020591;-0.343665;31.080936;6.000000;
-5.550;0.6500;0.020981;-0.345918;30.981042;6.000000;
-5.440;0.6600;0.021380;-0.348172;30.870482;6.000000;
-5.329;0.6700;0.021789;-0.350425;30.749991;6.000000;
-5.219;0.6800;0.022208;-0.352678;30.620281;6.000000;
-5.108;0.6900;0.022636;-0.354932;30.482032;6.000000;
-4.998;0.7000;0.023075;-0.357185;30.335898;6.000000;
-4.887;0.7100;0.023524;-0.359438;30.182507;6.000000;
-4.776;0.7200;0.023982;-0.361692;30.022453;6.000000;
-4.666;0.7300;0.024450;-0.363945;29.856308;6.000000;
-4.555;0.7400;0.024929;-0.366199;29.684613;6.000000;
-4.445;0.7500;0.025417;-0.368452;29.507881;6.000000;
-4.334;0.7600;0.025915;-0.370705;29.326599;6.000000;
-4.224;0.7700;0.026423;-0.372959;29.141229;6.000000;
-4.113;0.7800;0.026941;-0.375212;28.952207;6.000000;
-4.003;0.7900;0.027469;-0.377465;28.759943;6.000000;
-3.892;0.8000;0.028006;-0.379719;28.564824;6.000000;
-3.782;0.8100;0.028554;-0.381972;28.367216;6.000000;
-3.671;0.8200;0.029112;-0.384226;28.167460;6.000000;
-3.561;0.8300;0.029679;-0.386479;27.965877;6.000000;
-3.450;0.8400;0.030256;-0.388732;27.762767;6.000000;
-3.339;0.8500;0.030844;-0.390986;27.558413;6.000000;
-3.229;0.8600;0.031441;-0.393239;27.353077;6.000000;
-3.118;0.8700;0.032048;-0.395493;27.147004;6.000000;
-3.008;0.8800;0.032665;-0.397746;26.940423;6.000000;
-2.897;0.8900;0.033292;-0.399999;26.733546;6.000000;
-2.787;0.9000;0.033928;-0.402253;26.526571;6.000000;
-2.676;0.9100;0.034575;-0.404506;26.319681;6.000000;
-2.566;0.9200;0.035231;-0.406759;26.113046;6.000000;
-2.455;0.9300;0.035898;-0.409013;25.906823;6.000000;
-2.345;0.9400;0.036574;-0.411266;25.701157;6.000000;
-2.234;0.9500;0.037260;-0.413520;25.496181;6.000000;
-2.123;0.9600;0.037957;-0.415773;25.292019;6.000000;
-2.013;0.9700;0.038663;-0.418026;25.088784;6.000000;
-1.902;0.9800;0.039379;-0.420280;24.886578;6.000000;
-1.792;0.9900;0.040105;-0.422533;24.685497;6.000000;
-1.681;1.0000;0.040840;-0.424786;24.485627;6.000000;
-1.571;1.0100;0.041586;-0.427040;24.287046;6.000000;
-1.460;1.0200;0.042342;-0.429293;24.089826;6.000000;
-1.350;1.0300;0.043107;-0.431547;23.894030;6.000000;
-1.239;1.0400;0.043882;-0.433800;23.699718;6.000000;
-1.129;1.0500;0.044668;-0.436053;23.506941;6.000000;
-1.018;1.0600;0.045463;-0.438307;23.315745;6.000000;
-0.908;1.0700;0.046268;-0.440560;23.126172;6.000000;
-0.797;1.0800;0.047083;-0.442813;22.938258;6.000000;
-0.686;1.0900;0.047908;-0.445067;22.752034;6.000000;
-0.576;1.1000;0.048743;-0.447320;22.567529;6.000000;
-0.465;1.1100;0.049587;-0.449574;22.384767;6.000000;
-0.355;1.1200;0.050442;-0.451827;22.203767;6.000000;
-0.244;1.1300;0.051306;-0.454080;22.024546;6.000000;
-0.134;1.1400;0.052181;-0.456334;21.847117;6.000000;
-0.023;1.1500;0.053065;-0.458587;21.671492;6.000000;
0.087;1.1600;0.053959;-0.460840;21.497679;6.000000;
0.198;1.1700;0.054863;-0.463094;21.325683;6.000000;
0.308;1.1800;0.055777;-0.465347;21.155506;6.000000;
0.419;1.1900;0.056701;-0.467601;20.987152;6.000000;
0.530;1.2000;0.057635;-0.469854;20.820617;6.000000;
0.640;1.2100;0.058579;-0.472107;20.655901;6.000000;
0.751;1.2200;0.059533;-0.474361;20.492999;6.000000;
0.861;1.2300;0.060496;-0.476614;20.331904;6.000000;
0.972;1.2400;0.061469;-0.478867;20.172610;6.000000;
1.082;1.2500;0.062453;-0.481121;20.015109;6.000000;
1.193;1.2600;0.063446;-0.483374;19.859390;6.000000;
1.303;1.2700;0.064449;-0.485628;19.705444;6.000000;
1.414;1.2800;0.065462;-0.487881;19.553258;6.000000;
1.524;1.2900;0.066485;-0.490134;19.402820;6.000000;
1.635;1.3000;0.067518;-0.492388;19.254117;6.000000;
1.745;1.3100;0.068561;-0.494641;19.107134;6.000000;
1.856;1.3200;0.069613;-0.496894;18.961858;6.000000;
1.967;1.3300;0.070676;-0.499148;18.818273;6.000000;
2.077;1.3400;0.071748;-0.501401;18.676363;6.000000;
2.188;1.3500;0.072831;-0.503655;18.536112;6.000000;
2.298;1.3600;0.073923;-0.505908;18.397505;6.000000;
2.409;1.3700;0.075025;-0.508161;18.260523;6.000000;
2.519;1.3800;0.076137;-0.510415;18.125149;6.000000;
2.630;1.3900;0.077259;-0.512668;17.991367;6.000000;
2.740;1.4000;0.078391;-0.514921;17.859159;6.000000;
2.851;1.4100;0.079533;-0.517175;17.728507;6.000000;
2.961;1.4200;0.080685;-0.519428;17.599392;6.000000;
3.072;1.4300;0.081846;-0.521682;17.471797;6.000000;
3.183;1.4400;0.083018;-0.523935;17.345704;6.000000;
3.293;1.4500;0.084199;-0.526188;17.221095;6.000000;
3.404;1.4600;0.085390;-0.528442;17.097951;6.000000;
3.514;1.4700;0.086592;-0.530695;16.976253;6.000000;
