# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/tawCalculatePolar_M060_design_-600_plot.csv
# Clean Polar
# Mach Number 0.600000
AoA; C_L; C_Dtotal; C_Dind; C_Dvisc; C_Dwave; C_M; L/D; i_stab; C_Dvisc_wing; C_Dwave_wing; C_Dvisc_stab; C_Dwave_stab; C_Dind_stab; C_L_stab
-4.931;-0.4000;0.032219;0.015256;0.016963;0.000000;0.510599;-12.41516;-6.000000;0.004857;0.000000;0.001031;0.000000;0.012511;-0.159517;
-4.838;-0.3900;0.031809;0.014870;0.016938;0.000000;0.508047;-12.26086;-6.000000;0.004832;0.000000;0.001031;0.000000;0.012286;-0.158639;
-4.744;-0.3800;0.031408;0.014492;0.016916;0.000000;0.505495;-12.09889;-6.000000;0.004809;0.000000;0.001031;0.000000;0.012063;-0.157761;
-4.650;-0.3700;0.031016;0.014122;0.016894;0.000000;0.502943;-11.92914;-6.000000;0.004788;0.000000;0.001031;0.000000;0.011842;-0.156883;
-4.557;-0.3600;0.030634;0.013759;0.016875;0.000000;0.500391;-11.75151;-6.000000;0.004769;0.000000;0.001031;0.000000;0.011622;-0.156005;
-4.463;-0.3500;0.030261;0.013404;0.016857;0.000000;0.497839;-11.56588;-6.000000;0.004751;0.000000;0.001031;0.000000;0.011404;-0.155128;
-4.369;-0.3400;0.029898;0.013057;0.016841;0.000000;0.495287;-11.37217;-6.000000;0.004734;0.000000;0.001031;0.000000;0.011188;-0.154250;
-4.275;-0.3300;0.029543;0.012717;0.016826;0.000000;0.492735;-11.17028;-6.000000;0.004719;0.000000;0.001031;0.000000;0.010973;-0.153372;
-4.182;-0.3200;0.029197;0.012385;0.016812;0.000000;0.490183;-10.96013;-6.000000;0.004706;0.000000;0.001031;0.000000;0.010761;-0.152494;
-4.088;-0.3100;0.028860;0.012060;0.016799;0.000000;0.487631;-10.74164;-6.000000;0.004693;0.000000;0.001031;0.000000;0.010550;-0.151616;
-3.994;-0.3000;0.028531;0.011743;0.016788;0.000000;0.485079;-10.51476;-6.000000;0.004682;0.000000;0.001031;0.000000;0.010340;-0.150735;
-3.901;-0.2900;0.028212;0.011434;0.016778;0.000000;0.482527;-10.27942;-6.000000;0.004672;0.000000;0.001031;0.000000;0.010127;-0.149834;
-3.807;-0.2800;0.027901;0.011132;0.016768;0.000000;0.479975;-10.03558;-6.000000;0.004662;0.000000;0.001031;0.000000;0.009916;-0.148934;
-3.713;-0.2700;0.027598;0.010838;0.016760;0.000000;0.477423;-9.78320;-6.000000;0.004654;0.000000;0.001031;0.000000;0.009706;-0.148033;
-3.619;-0.2600;0.027304;0.010552;0.016753;0.000000;0.474871;-9.52226;-6.000000;0.004647;0.000000;0.001031;0.000000;0.009499;-0.147133;
-3.526;-0.2500;0.027019;0.010273;0.016746;0.000000;0.472319;-9.25275;-6.000000;0.004640;0.000000;0.001031;0.000000;0.009293;-0.146232;
-3.432;-0.2400;0.026742;0.010002;0.016740;0.000000;0.469767;-8.97467;-6.000000;0.004634;0.000000;0.001031;0.000000;0.009090;-0.145332;
-3.338;-0.2300;0.026473;0.009738;0.016735;0.000000;0.467215;-8.68803;-6.000000;0.004629;0.000000;0.001031;0.000000;0.008888;-0.144431;
-3.245;-0.2200;0.026213;0.009482;0.016730;0.000000;0.464663;-8.39287;-6.000000;0.004624;0.000000;0.001031;0.000000;0.008687;-0.143531;
-3.151;-0.2100;0.025961;0.009234;0.016726;0.000000;0.462111;-8.08921;-6.000000;0.004620;0.000000;0.001031;0.000000;0.008489;-0.142630;
-3.057;-0.2000;0.025716;0.008993;0.016723;0.000000;0.459559;-7.77712;-6.000000;0.004617;0.000000;0.001031;0.000000;0.008292;-0.141730;
-2.963;-0.1900;0.025481;0.008761;0.016720;0.000000;0.457007;-7.45667;-6.000000;0.004614;0.000000;0.001031;0.000000;0.008098;-0.140829;
-2.870;-0.1800;0.025253;0.008535;0.016717;0.000000;0.454455;-7.12795;-6.000000;0.004611;0.000000;0.001031;0.000000;0.007905;-0.139929;
-2.776;-0.1700;0.025033;0.008318;0.016715;0.000000;0.451903;-6.79105;-6.000000;0.004609;0.000000;0.001031;0.000000;0.007714;-0.139028;
-2.682;-0.1600;0.024821;0.008108;0.016714;0.000000;0.449351;-6.44611;-6.000000;0.004607;0.000000;0.001031;0.000000;0.007524;-0.138128;
-2.589;-0.1500;0.024617;0.007905;0.016712;0.000000;0.446799;-6.09326;-6.000000;0.004606;0.000000;0.001031;0.000000;0.007337;-0.137228;
-2.495;-0.1400;0.024421;0.007711;0.016711;0.000000;0.444247;-5.73266;-6.000000;0.004605;0.000000;0.001031;0.000000;0.007151;-0.136327;
-2.401;-0.1300;0.024233;0.007524;0.016710;0.000000;0.441695;-5.36448;-6.000000;0.004604;0.000000;0.001031;0.000000;0.006967;-0.135427;
-2.307;-0.1200;0.024053;0.007344;0.016709;0.000000;0.439143;-4.98890;-6.000000;0.004603;0.000000;0.001031;0.000000;0.006785;-0.134526;
-2.214;-0.1100;0.023881;0.007173;0.016708;0.000000;0.436591;-4.60614;-6.000000;0.004602;0.000000;0.001031;0.000000;0.006605;-0.133626;
-2.120;-0.1000;0.023717;0.007009;0.016708;0.000000;0.434039;-4.21644;-6.000000;0.004602;0.000000;0.001031;0.000000;0.006427;-0.132725;
-2.026;-0.0900;0.023560;0.006852;0.016708;0.000000;0.431487;-3.82002;-6.000000;0.004601;0.000000;0.001031;0.000000;0.006250;-0.131825;
-1.933;-0.0800;0.023411;0.006704;0.016707;0.000000;0.428935;-3.41717;-6.000000;0.004601;0.000000;0.001031;0.000000;0.006072;-0.130908;
-1.839;-0.0700;0.023271;0.006564;0.016707;0.000000;0.426383;-3.00799;-6.000000;0.004601;0.000000;0.001031;0.000000;0.005895;-0.129988;
-1.745;-0.0600;0.023140;0.006432;0.016707;0.000000;0.423831;-2.59296;-6.000000;0.004601;0.000000;0.001031;0.000000;0.005721;-0.129067;
-1.651;-0.0500;0.023015;0.006308;0.016707;0.000000;0.421279;-2.17248;-6.000000;0.004601;0.000000;0.001031;0.000000;0.005548;-0.128147;
-1.558;-0.0400;0.022898;0.006191;0.016707;0.000000;0.418727;-1.74686;-6.000000;0.004601;0.000000;0.001031;0.000000;0.005377;-0.127226;
-1.464;-0.0300;0.022789;0.006082;0.016707;0.000000;0.416175;-1.31645;-6.000000;0.004601;0.000000;0.001031;0.000000;0.005207;-0.126306;
-1.370;-0.0200;0.022686;0.005979;0.016707;0.000000;0.413623;-0.88158;-6.000000;0.004601;0.000000;0.001031;0.000000;0.005040;-0.125385;
-1.277;-0.0100;0.022592;0.005885;0.016707;0.000000;0.411071;-0.44264;-6.000000;0.004601;0.000000;0.001031;0.000000;0.004875;-0.124465;
-1.183;0.0000;0.022505;0.005798;0.016707;0.000000;0.408519;0.00000;-6.000000;0.004601;0.000000;0.001031;0.000000;0.004711;-0.123544;
-1.089;0.0100;0.022425;0.005718;0.016707;0.000000;0.405967;0.44593;-6.000000;0.004601;0.000000;0.001031;0.000000;0.004550;-0.122624;
-0.995;0.0200;0.022353;0.005646;0.016707;0.000000;0.403415;0.89473;-6.000000;0.004601;0.000000;0.001031;0.000000;0.004390;-0.121704;
-0.902;0.0300;0.022289;0.005582;0.016707;0.000000;0.400863;1.34598;-6.000000;0.004601;0.000000;0.001031;0.000000;0.004232;-0.120783;
-0.808;0.0400;0.022232;0.005525;0.016707;0.000000;0.398311;1.79923;-6.000000;0.004601;0.000000;0.001031;0.000000;0.004076;-0.119863;
-0.714;0.0500;0.022183;0.005476;0.016707;0.000000;0.395759;2.25402;-6.000000;0.004601;0.000000;0.001031;0.000000;0.003922;-0.118942;
-0.621;0.0600;0.022141;0.005434;0.016707;0.000000;0.393208;2.70988;-6.000000;0.004601;0.000000;0.001031;0.000000;0.003770;-0.118022;
-0.527;0.0700;0.022108;0.005400;0.016707;0.000000;0.390656;3.16634;-6.000000;0.004601;0.000000;0.001031;0.000000;0.003620;-0.117101;
-0.433;0.0800;0.022082;0.005374;0.016707;0.000000;0.388104;3.62291;-6.000000;0.004601;0.000000;0.001031;0.000000;0.003472;-0.116181;
-0.339;0.0900;0.022064;0.005356;0.016708;0.000000;0.385552;4.07910;-6.000000;0.004601;0.000000;0.001031;0.000000;0.003325;-0.115260;
-0.246;0.1000;0.022054;0.005346;0.016708;0.000000;0.383000;4.53439;-6.000000;0.004602;0.000000;0.001031;0.000000;0.003181;-0.114340;
-0.152;0.1100;0.022052;0.005343;0.016708;0.000000;0.380448;4.98831;-6.000000;0.004602;0.000000;0.001031;0.000000;0.003038;-0.113419;
-0.058;0.1200;0.022058;0.005348;0.016709;0.000000;0.377896;5.44032;-6.000000;0.004603;0.000000;0.001031;0.000000;0.002897;-0.112499;
0.036;0.1300;0.022072;0.005362;0.016710;0.000000;0.375344;5.88993;-6.000000;0.004604;0.000000;0.001031;0.000000;0.002757;-0.111571;
0.129;0.1400;0.022094;0.005383;0.016711;0.000000;0.372792;6.33663;-6.000000;0.004605;0.000000;0.001031;0.000000;0.002618;-0.110634;
0.223;0.1500;0.022124;0.005412;0.016712;0.000000;0.370240;6.77992;-6.000000;0.004606;0.000000;0.001031;0.000000;0.002480;-0.109696;
0.317;0.1600;0.022163;0.005449;0.016714;0.000000;0.367688;7.21929;-6.000000;0.004607;0.000000;0.001031;0.000000;0.002345;-0.108758;
0.410;0.1700;0.022210;0.005495;0.016715;0.000000;0.365136;7.65425;-6.000000;0.004609;0.000000;0.001031;0.000000;0.002211;-0.107820;
0.504;0.1800;0.022265;0.005548;0.016717;0.000000;0.362584;8.08431;-6.000000;0.004611;0.000000;0.001031;0.000000;0.002079;-0.106882;
0.598;0.1900;0.022329;0.005609;0.016720;0.000000;0.360032;8.50900;-6.000000;0.004614;0.000000;0.001031;0.000000;0.001950;-0.105945;
0.692;0.2000;0.022402;0.005679;0.016723;0.000000;0.357480;8.92783;-6.000000;0.004617;0.000000;0.001031;0.000000;0.001822;-0.105007;
0.785;0.2100;0.022483;0.005757;0.016726;0.000000;0.354928;9.34037;-6.000000;0.004620;0.000000;0.001031;0.000000;0.001696;-0.104069;
0.879;0.2200;0.022573;0.005843;0.016730;0.000000;0.352376;9.74617;-6.000000;0.004624;0.000000;0.001031;0.000000;0.001572;-0.103131;
0.973;0.2300;0.022672;0.005937;0.016735;0.000000;0.349824;10.14480;-6.000000;0.004629;0.000000;0.001031;0.000000;0.001451;-0.102193;
1.066;0.2400;0.022779;0.006039;0.016740;0.000000;0.347272;10.53585;-6.000000;0.004634;0.000000;0.001031;0.000000;0.001331;-0.101256;
1.160;0.2500;0.022896;0.006150;0.016746;0.000000;0.344720;10.91893;-6.000000;0.004640;0.000000;0.001031;0.000000;0.001213;-0.100318;
1.254;0.2600;0.023022;0.006269;0.016753;0.000000;0.342168;11.29367;-6.000000;0.004647;0.000000;0.001031;0.000000;0.001097;-0.099380;
1.348;0.2700;0.023157;0.006397;0.016760;0.000000;0.339616;11.65972;-6.000000;0.004654;0.000000;0.001031;0.000000;0.000983;-0.098442;
1.441;0.2800;0.023301;0.006532;0.016768;0.000000;0.337064;12.01674;-6.000000;0.004662;0.000000;0.001031;0.000000;0.000871;-0.097504;
1.535;0.2900;0.023454;0.006677;0.016778;0.000000;0.334512;12.36443;-6.000000;0.004672;0.000000;0.001031;0.000000;0.000761;-0.096566;
1.629;0.3000;0.023617;0.006829;0.016788;0.000000;0.331960;12.70250;-6.000000;0.004682;0.000000;0.001031;0.000000;0.000653;-0.095629;
1.722;0.3100;0.023790;0.006991;0.016799;0.000000;0.329408;13.03068;-6.000000;0.004693;0.000000;0.001031;0.000000;0.000547;-0.094691;
1.816;0.3200;0.023972;0.007160;0.016812;0.000000;0.326856;13.34875;-6.000000;0.004706;0.000000;0.001031;0.000000;0.000443;-0.093753;
1.910;0.3300;0.024164;0.007339;0.016826;0.000000;0.324304;13.65648;-6.000000;0.004719;0.000000;0.001031;0.000000;0.000341;-0.092815;
2.004;0.3400;0.024366;0.007526;0.016841;0.000000;0.321752;13.95368;-6.000000;0.004734;0.000000;0.001031;0.000000;0.000240;-0.091877;
2.097;0.3500;0.024578;0.007721;0.016857;0.000000;0.319200;14.24020;-6.000000;0.004751;0.000000;0.001031;0.000000;0.000141;-0.090925;
2.191;0.3600;0.024800;0.007925;0.016875;0.000000;0.316648;14.51588;-6.000000;0.004769;0.000000;0.001031;0.000000;0.000043;-0.089972;
2.285;0.3700;0.025033;0.008138;0.016894;0.000000;0.314096;14.78063;-6.000000;0.004788;0.000000;0.001031;0.000000;-0.000053;-0.089020;
2.378;0.3800;0.025275;0.008360;0.016916;0.000000;0.311544;15.03433;-6.000000;0.004809;0.000000;0.001031;0.000000;-0.000146;-0.088067;
2.472;0.3900;0.025529;0.008590;0.016938;0.000000;0.308992;15.27693;-6.000000;0.004832;0.000000;0.001031;0.000000;-0.000238;-0.087115;
2.566;0.4000;0.025792;0.008830;0.016963;0.000000;0.306440;15.50839;-6.000000;0.004857;0.000000;0.001031;0.000000;-0.000328;-0.086162;
2.660;0.4100;0.026067;0.009077;0.016990;0.000000;0.303888;15.72868;-6.000000;0.004883;0.000000;0.001031;0.000000;-0.000415;-0.085210;
2.753;0.4200;0.026352;0.009334;0.017018;0.000000;0.301336;15.93780;-6.000000;0.004912;0.000000;0.001031;0.000000;-0.000501;-0.084257;
2.847;0.4300;0.026649;0.009600;0.017049;0.000000;0.298784;16.13577;-6.000000;0.004943;0.000000;0.001031;0.000000;-0.000584;-0.083304;
2.941;0.4400;0.026956;0.009875;0.017082;0.000000;0.296232;16.32265;-6.000000;0.004976;0.000000;0.001031;0.000000;-0.000666;-0.082352;
3.034;0.4500;0.027275;0.010158;0.017117;0.000000;0.293680;16.49849;-6.000000;0.005011;0.000000;0.001031;0.000000;-0.000745;-0.081399;
3.128;0.4600;0.027605;0.010451;0.017155;0.000000;0.291128;16.66338;-6.000000;0.005049;0.000000;0.001031;0.000000;-0.000822;-0.080447;
3.222;0.4700;0.027947;0.010752;0.017195;0.000000;0.288576;16.81742;-6.000000;0.005089;0.000000;0.001031;0.000000;-0.000898;-0.079494;
3.316;0.4800;0.028301;0.011063;0.017238;0.000000;0.286024;16.96073;-6.000000;0.005132;0.000000;0.001031;0.000000;-0.000971;-0.078542;
3.409;0.4900;0.028666;0.011383;0.017283;0.000000;0.283472;17.09344;-6.000000;0.005177;0.000000;0.001031;0.000000;-0.001043;-0.077589;
3.503;0.5000;0.029043;0.011711;0.017332;0.000000;0.280920;17.21570;-6.000000;0.005226;0.000000;0.001031;0.000000;-0.001112;-0.076636;
3.597;0.5100;0.029433;0.012049;0.017384;0.000000;0.278368;17.32767;-6.000000;0.005277;0.000000;0.001031;0.000000;-0.001179;-0.075684;
3.690;0.5200;0.029834;0.012396;0.017438;0.000000;0.275816;17.42954;-6.000000;0.005332;0.000000;0.001031;0.000000;-0.001244;-0.074731;
3.784;0.5300;0.030249;0.012753;0.017496;0.000000;0.273264;17.52149;-6.000000;0.005390;0.000000;0.001031;0.000000;-0.001308;-0.073779;
3.878;0.5400;0.030675;0.013118;0.017557;0.000000;0.270712;17.60371;-6.000000;0.005451;0.000000;0.001031;0.000000;-0.001369;-0.072826;
3.972;0.5500;0.031115;0.013493;0.017622;0.000000;0.268160;17.67642;-6.000000;0.005516;0.000000;0.001031;0.000000;-0.001428;-0.071874;
4.065;0.5600;0.031567;0.013877;0.017690;0.000000;0.265608;17.73984;-6.000000;0.005584;0.000000;0.001031;0.000000;-0.001485;-0.070914;
4.159;0.5700;0.032033;0.014270;0.017763;0.000000;0.263056;17.79419;-6.000000;0.005656;0.000000;0.001031;0.000000;-0.001541;-0.069949;
4.253;0.5800;0.032512;0.014673;0.017839;0.000000;0.260504;17.83970;-6.000000;0.005732;0.000000;0.001031;0.000000;-0.001595;-0.068985;
4.346;0.5900;0.033004;0.015085;0.017919;0.000000;0.257952;17.87662;-6.000000;0.005813;0.000000;0.001031;0.000000;-0.001646;-0.068020;
4.440;0.6000;0.033510;0.015507;0.018003;0.000000;0.255400;17.90517;-6.000000;0.005897;0.000000;0.001031;0.000000;-0.001696;-0.067055;
4.534;0.6100;0.034030;0.015938;0.018092;0.000000;0.252848;17.92561;-6.000000;0.005985;0.000000;0.001031;0.000000;-0.001743;-0.066090;
4.628;0.6200;0.034563;0.016378;0.018185;0.000000;0.250296;17.93820;-6.000000;0.006078;0.000000;0.001031;0.000000;-0.001789;-0.065126;
4.721;0.6300;0.035111;0.016829;0.018282;0.000000;0.247744;17.94317;-6.000000;0.006176;0.000000;0.001031;0.000000;-0.001832;-0.064161;
4.815;0.6400;0.035673;0.017288;0.018385;0.000000;0.245192;17.94078;-6.000000;0.006279;0.000000;0.001031;0.000000;-0.001873;-0.063196;
4.909;0.6500;0.036285;0.017757;0.018492;0.000035;0.242640;17.91390;-6.000000;0.006386;0.000035;0.001031;0.000000;-0.001912;-0.062232;
5.002;0.6600;0.036945;0.018236;0.018604;0.000105;0.240088;17.86417;-6.000000;0.006498;0.000105;0.001031;0.000000;-0.001949;-0.061267;
5.096;0.6700;0.037629;0.018725;0.018722;0.000182;0.237536;17.80546;-6.000000;0.006616;0.000182;0.001031;0.000000;-0.001984;-0.060302;
5.190;0.6800;0.038336;0.019223;0.018845;0.000268;0.234984;17.73793;-6.000000;0.006739;0.000268;0.001031;0.000000;-0.002017;-0.059337;
5.284;0.6900;0.039068;0.019731;0.018974;0.000363;0.232433;17.66173;-6.000000;0.006868;0.000363;0.001031;0.000000;-0.002048;-0.058373;
5.377;0.7000;0.039825;0.020248;0.019108;0.000468;0.229881;17.57701;-6.000000;0.007002;0.000468;0.001031;0.000000;-0.002077;-0.057408;
5.471;0.7100;0.040609;0.020776;0.019248;0.000585;0.227329;17.48394;-6.000000;0.007142;0.000585;0.001031;0.000000;-0.002103;-0.056443;
5.565;0.7200;0.041421;0.021313;0.019394;0.000713;0.224777;17.38267;-6.000000;0.007288;0.000713;0.001031;0.000000;-0.002128;-0.055478;
5.659;0.7300;0.042262;0.021860;0.019547;0.000855;0.222225;17.27336;-6.000000;0.007441;0.000855;0.001031;0.000000;-0.002150;-0.054514;
5.752;0.7400;0.043133;0.022417;0.019706;0.001010;0.219673;17.15617;-6.000000;0.007599;0.001010;0.001031;0.000000;-0.002171;-0.053549;
5.846;0.7500;0.044037;0.022984;0.019871;0.001182;0.217121;17.03127;-6.000000;0.007765;0.001182;0.001031;0.000000;-0.002189;-0.052584;
5.940;0.7600;0.044974;0.023561;0.020043;0.001369;0.214569;16.89881;-6.000000;0.007937;0.001369;0.001031;0.000000;-0.002205;-0.051620;
6.033;0.7700;0.045946;0.024148;0.020222;0.001576;0.212017;16.75896;-6.000000;0.008116;0.001576;0.001031;0.000000;-0.002219;-0.050653;
6.127;0.7800;0.046954;0.024745;0.020408;0.001801;0.209465;16.61191;-6.000000;0.008302;0.001801;0.001031;0.000000;-0.002232;-0.049679;
6.221;0.7900;0.048002;0.025351;0.020602;0.002048;0.206913;16.45782;-6.000000;0.008496;0.002048;0.001031;0.000000;-0.002242;-0.048705;
6.315;0.8000;0.049089;0.025968;0.020803;0.002318;0.204361;16.29687;-6.000000;0.008697;0.002318;0.001031;0.000000;-0.002250;-0.047730;
6.408;0.8100;0.050219;0.026595;0.021012;0.002612;0.201809;16.12926;-6.000000;0.008906;0.002612;0.001031;0.000000;-0.002255;-0.046756;
