# Development Phase Emissions and Energy Demand
# All emissions in [kg], Energy in [J]
Category;CO2;H2O;NOx;CO;SO2;CH4;PM10;Secondary_Energy;CED
Engineering_Electricity;7.710419e+06;6.870840e+07;1.307344e+04;5.380159e+03;2.518737e+04;1.560932e+04;1.884769e+02;6.168336e+13;1.801154e+14
Engineering_Heat;3.464355e+06;3.236436e+06;2.795795e+03;1.131993e+03;1.487545e+03;9.359835e+03;8.417774e+00;5.470033e+13;6.728141e+13
Total;1.117477e+07;7.194484e+07;1.586924e+04;6.512152e+03;2.667492e+04;2.496915e+04;1.968947e+02;1.163837e+14;2.473968e+14
