# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/mission_analysis_design_mission_SAR.csv
# Diagram about specific air range
# Ma-Number [-]; Altitude [FL]; AC mass [kg]; SAR [m/kg];
0.74; 320; 43.4238; 549.864; 
0.74; 325; 43.4238; 558.314; 
0.74; 330; 43.4238; 566.687; 
0.74; 335; 43.4238; 574.951; 
0.74; 340; 43.4238; 583.22; 
0.74; 345; 43.4238; 591.457; 
0.74; 350; 43.4238; 599.466; 
0.74; 355; 43.4238; 607.421; 
0.74; 360; 43.4238; 615.307; 
0.74; 365; 43.4238; 622.539; 
0.74; 370; 43.4238; 629.46; 
0.74; 375; 43.4238; 636.166; 
0.74; 380; 43.4238; 642.524; 
0.74; 385; 43.4238; 648.427; 
0.74; 390; 43.4238; 653.931; 
0.74; 395; 43.4238; 658.976; 
0.74; 400; 43.4238; 663.253; 
0.74; 405; 43.4238; 666.96; 
0.74; 260; 44.701; 447.863; 
0.74; 265; 44.701; 455.681; 
0.74; 270; 44.701; 463.557; 
0.74; 275; 44.701; 471.519; 
0.74; 280; 44.701; 479.563; 
0.74; 285; 44.701; 487.589; 
0.74; 290; 44.701; 495.671; 
0.74; 295; 44.701; 503.858; 
0.74; 300; 44.701; 511.962; 
0.74; 305; 44.701; 520.109; 
0.74; 310; 44.701; 528.309; 
0.74; 315; 44.701; 536.437; 
0.74; 320; 44.701; 544.538; 
0.74; 325; 44.701; 552.67; 
0.74; 330; 44.701; 560.718; 
0.74; 335; 44.701; 568.632; 
0.74; 340; 44.701; 576.53; 
0.74; 345; 44.701; 584.377; 
0.74; 350; 44.701; 591.975; 
0.74; 355; 44.701; 599.497; 
0.74; 360; 44.701; 606.929; 
0.74; 365; 44.701; 613.705; 
0.74; 370; 44.701; 620.155; 
0.74; 375; 44.701; 626.365; 
0.74; 380; 44.701; 632.105; 
0.74; 385; 44.701; 637.39; 
0.74; 390; 44.701; 642.171; 
0.74; 395; 44.701; 646.224; 
0.74; 400; 44.701; 649.742; 
0.74; 405; 44.701; 651.852; 
0.74; 260; 45.9782; 445.166; 
0.74; 265; 45.9782; 452.833; 
0.74; 270; 45.9782; 460.526; 
0.74; 275; 45.9782; 468.306; 
0.74; 280; 45.9782; 476.164; 
0.74; 285; 45.9782; 483.97; 
0.74; 290; 45.9782; 491.842; 
0.74; 295; 45.9782; 499.804; 
0.74; 300; 45.9782; 507.67; 
0.74; 305; 45.9782; 515.551; 
0.74; 310; 45.9782; 523.484; 
0.74; 315; 45.9782; 531.328; 
0.74; 320; 45.9782; 539.129; 
0.74; 325; 45.9782; 546.944; 
0.74; 330; 45.9782; 554.665; 
0.74; 335; 45.9782; 562.229; 
0.74; 340; 45.9782; 569.758; 
0.74; 345; 45.9782; 577.216; 
0.74; 350; 45.9782; 584.405; 
0.74; 355; 45.9782; 591.5; 
0.74; 360; 45.9782; 598.485; 
0.74; 365; 45.9782; 604.809; 
0.74; 370; 45.9782; 610.785; 
0.74; 375; 45.9782; 616.39; 
0.74; 380; 45.9782; 621.529; 
0.74; 385; 45.9782; 626.049; 
0.74; 390; 45.9782; 629.941; 
0.74; 395; 45.9782; 633.344; 
0.74; 400; 45.9782; 635.023; 
0.74; 405; 45.9782; 634.846; 
