# Mission Summary: design
Phase;CO2;H2O;NOx;CO;SO2;CH4;PM10;Secondary_Energy;CED
LTO;4.089746e+07;1.558493e+07;1.550953e+05;9.409197e+04;1.090945e+04;0.000000e+00;1.597336e+02;5.597588e+14;6.961789e+14
Cruise;7.213106e+08;2.748722e+08;3.307690e+06;3.546477e+05;1.924106e+05;0.000000e+00;4.095122e+03;9.872495e+15;1.227854e+16
Total;7.622080e+08;2.904572e+08;3.462786e+06;4.487396e+05;2.033200e+05;0.000000e+00;4.254856e+03;1.043225e+16;1.297472e+16
