# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/tawCalculatePolar_M076_design_600_plot.csv
# Clean Polar
# Mach Number 0.760000
AoA; C_L; C_Dtotal; C_Dind; C_Dvisc; C_Dwave; C_M; L/D; i_stab; C_Dvisc_wing; C_Dwave_wing; C_Dvisc_stab; C_Dwave_stab; C_Dind_stab; C_L_stab
-1.787;0.1700;0.019761;0.002543;0.017218;0.000000;-0.559538;8.60263;6.000000;0.004912;0.000000;0.001074;0.000000;0.001515;0.088839;
-1.702;0.1800;0.019905;0.002685;0.017220;0.000000;-0.562141;9.04273;6.000000;0.004914;0.000000;0.001074;0.000000;0.001617;0.089729;
-1.618;0.1900;0.020058;0.002835;0.017223;0.000000;-0.564745;9.47250;6.000000;0.004916;0.000000;0.001074;0.000000;0.001722;0.090619;
-1.533;0.2000;0.020219;0.002994;0.017226;0.000000;-0.567348;9.89152;6.000000;0.004919;0.000000;0.001074;0.000000;0.001828;0.091510;
-1.449;0.2100;0.020388;0.003159;0.017229;0.000000;-0.569952;10.30000;6.000000;0.004923;0.000000;0.001074;0.000000;0.001937;0.092400;
-1.364;0.2200;0.020565;0.003332;0.017233;0.000000;-0.572555;10.69772;6.000000;0.004927;0.000000;0.001074;0.000000;0.002047;0.093290;
-1.279;0.2300;0.020750;0.003512;0.017238;0.000000;-0.575158;11.08445;6.000000;0.004931;0.000000;0.001074;0.000000;0.002159;0.094180;
-1.195;0.2400;0.020942;0.003700;0.017243;0.000000;-0.577762;11.46001;6.000000;0.004936;0.000000;0.001074;0.000000;0.002274;0.095070;
-1.110;0.2500;0.021143;0.003894;0.017249;0.000000;-0.580365;11.82422;6.000000;0.004942;0.000000;0.001074;0.000000;0.002390;0.095960;
-1.026;0.2600;0.021352;0.004096;0.017255;0.000000;-0.582968;12.17696;6.000000;0.004949;0.000000;0.001074;0.000000;0.002508;0.096850;
-0.941;0.2700;0.021569;0.004306;0.017263;0.000000;-0.585572;12.51809;6.000000;0.004956;0.000000;0.001074;0.000000;0.002628;0.097740;
-0.857;0.2800;0.021794;0.004523;0.017271;0.000000;-0.588175;12.84754;6.000000;0.004965;0.000000;0.001074;0.000000;0.002750;0.098630;
-0.772;0.2900;0.022028;0.004747;0.017280;0.000000;-0.590778;13.16523;6.000000;0.004974;0.000000;0.001074;0.000000;0.002874;0.099520;
-0.688;0.3000;0.022270;0.004979;0.017291;0.000000;-0.593382;13.47111;6.000000;0.004984;0.000000;0.001074;0.000000;0.003000;0.100411;
-0.603;0.3100;0.022521;0.005219;0.017302;0.000000;-0.595985;13.76517;6.000000;0.004996;0.000000;0.001074;0.000000;0.003128;0.101301;
-0.518;0.3200;0.022780;0.005466;0.017314;0.000000;-0.598589;14.04738;6.000000;0.005008;0.000000;0.001074;0.000000;0.003258;0.102191;
-0.434;0.3300;0.023048;0.005720;0.017328;0.000000;-0.601192;14.31778;6.000000;0.005022;0.000000;0.001074;0.000000;0.003390;0.103081;
-0.349;0.3400;0.023325;0.005982;0.017343;0.000000;-0.603795;14.57640;6.000000;0.005037;0.000000;0.001074;0.000000;0.003523;0.103971;
-0.265;0.3500;0.023611;0.006252;0.017360;0.000000;-0.606399;14.82329;6.000000;0.005053;0.000000;0.001074;0.000000;0.003659;0.104861;
-0.180;0.3600;0.023907;0.006529;0.017378;0.000000;-0.609002;15.05853;6.000000;0.005071;0.000000;0.001074;0.000000;0.003797;0.105751;
-0.096;0.3700;0.024211;0.006814;0.017397;0.000000;-0.611605;15.28220;6.000000;0.005091;0.000000;0.001074;0.000000;0.003936;0.106641;
-0.011;0.3800;0.024525;0.007107;0.017418;0.000000;-0.614209;15.49441;6.000000;0.005112;0.000000;0.001074;0.000000;0.004078;0.107531;
0.074;0.3900;0.024848;0.007407;0.017441;0.000000;-0.616812;15.69529;6.000000;0.005135;0.000000;0.001074;0.000000;0.004220;0.108416;
0.158;0.4000;0.025181;0.007715;0.017466;0.000000;-0.619416;15.88496;6.000000;0.005159;0.000000;0.001074;0.000000;0.004364;0.109298;
0.243;0.4100;0.025524;0.008031;0.017492;0.000000;-0.622019;16.06358;6.000000;0.005186;0.000000;0.001074;0.000000;0.004510;0.110180;
0.327;0.4200;0.025876;0.008355;0.017521;0.000000;-0.624622;16.23130;6.000000;0.005214;0.000000;0.001074;0.000000;0.004658;0.111062;
0.412;0.4300;0.026238;0.008687;0.017552;0.000000;-0.627226;16.38830;6.000000;0.005245;0.000000;0.001074;0.000000;0.004808;0.111944;
0.496;0.4400;0.026611;0.009026;0.017584;0.000000;-0.629829;16.53476;6.000000;0.005278;0.000000;0.001074;0.000000;0.004960;0.112826;
0.581;0.4500;0.026993;0.009374;0.017620;0.000000;-0.632432;16.67086;6.000000;0.005313;0.000000;0.001074;0.000000;0.005113;0.113708;
0.665;0.4600;0.027386;0.009729;0.017657;0.000000;-0.635036;16.79682;6.000000;0.005351;0.000000;0.001074;0.000000;0.005269;0.114590;
0.750;0.4700;0.027790;0.010092;0.017698;0.000000;-0.637639;16.91283;6.000000;0.005391;0.000000;0.001074;0.000000;0.005426;0.115472;
0.835;0.4800;0.028204;0.010463;0.017740;0.000000;-0.640242;17.01911;6.000000;0.005434;0.000000;0.001074;0.000000;0.005585;0.116355;
0.919;0.4900;0.028628;0.010842;0.017786;0.000000;-0.642846;17.11588;6.000000;0.005480;0.000000;0.001074;0.000000;0.005747;0.117237;
1.004;0.5000;0.029064;0.011229;0.017835;0.000000;-0.645449;17.20336;6.000000;0.005528;0.000000;0.001074;0.000000;0.005910;0.118119;
1.088;0.5100;0.029583;0.011625;0.017886;0.000073;-0.648053;17.23938;6.000000;0.005580;0.000073;0.001074;0.000000;0.006075;0.119001;
1.173;0.5200;0.030133;0.012028;0.017941;0.000165;-0.650656;17.25659;6.000000;0.005634;0.000165;0.001074;0.000000;0.006242;0.119883;
1.257;0.5300;0.030708;0.012439;0.017999;0.000270;-0.653259;17.25956;6.000000;0.005692;0.000270;0.001074;0.000000;0.006411;0.120765;
1.342;0.5400;0.031308;0.012859;0.018060;0.000389;-0.655863;17.24816;6.000000;0.005754;0.000389;0.001074;0.000000;0.006582;0.121647;
1.427;0.5500;0.031935;0.013287;0.018125;0.000524;-0.658466;17.22224;6.000000;0.005818;0.000524;0.001074;0.000000;0.006754;0.122529;
1.511;0.5600;0.032593;0.013723;0.018193;0.000677;-0.661069;17.18166;6.000000;0.005887;0.000677;0.001074;0.000000;0.006929;0.123411;
1.596;0.5700;0.033282;0.014167;0.018265;0.000850;-0.663673;17.12628;6.000000;0.005959;0.000850;0.001074;0.000000;0.007106;0.124294;
1.680;0.5800;0.034006;0.014619;0.018341;0.001045;-0.666276;17.05597;6.000000;0.006035;0.001045;0.001074;0.000000;0.007284;0.125176;
1.765;0.5900;0.034766;0.015080;0.018421;0.001265;-0.668879;16.97064;6.000000;0.006115;0.001265;0.001074;0.000000;0.007464;0.126058;
1.849;0.6000;0.035566;0.015549;0.018506;0.001511;-0.671483;16.87019;6.000000;0.006199;0.001511;0.001074;0.000000;0.007647;0.126940;
1.934;0.6100;0.036408;0.016026;0.018594;0.001788;-0.674086;16.75458;6.000000;0.006288;0.001788;0.001074;0.000000;0.007831;0.127822;
2.018;0.6200;0.037296;0.016511;0.018687;0.002097;-0.676690;16.62377;6.000000;0.006381;0.002097;0.001074;0.000000;0.008017;0.128704;
2.103;0.6300;0.038233;0.017005;0.018785;0.002443;-0.679293;16.47780;6.000000;0.006479;0.002443;0.001074;0.000000;0.008203;0.129576;
2.188;0.6400;0.039224;0.017508;0.018887;0.002828;-0.681896;16.31672;6.000000;0.006581;0.002828;0.001074;0.000000;0.008390;0.130447;
2.272;0.6500;0.040271;0.018019;0.018995;0.003258;-0.684500;16.14064;6.000000;0.006688;0.003258;0.001074;0.000000;0.008580;0.131319;
2.357;0.6600;0.041380;0.018538;0.019107;0.003735;-0.687103;15.94975;6.000000;0.006801;0.003735;0.001074;0.000000;0.008771;0.132190;
2.441;0.6700;0.042555;0.019066;0.019225;0.004265;-0.689706;15.74426;6.000000;0.006918;0.004265;0.001074;0.000000;0.008964;0.133062;
2.526;0.6800;0.043802;0.019602;0.019348;0.004852;-0.692310;15.52450;6.000000;0.007041;0.004852;0.001074;0.000000;0.009159;0.133933;
2.610;0.6900;0.045125;0.020147;0.019476;0.005502;-0.694913;15.29082;6.000000;0.007170;0.005502;0.001074;0.000000;0.009356;0.134805;
2.695;0.7000;0.046531;0.020700;0.019611;0.006221;-0.697516;15.04367;6.000000;0.007304;0.006221;0.001074;0.000000;0.009555;0.135676;
2.780;0.7100;0.048026;0.021262;0.019751;0.007014;-0.700120;14.78357;6.000000;0.007444;0.007014;0.001074;0.000000;0.009756;0.136548;
2.864;0.7200;0.049617;0.021833;0.019897;0.007888;-0.702723;14.51111;6.000000;0.007591;0.007888;0.001074;0.000000;0.009958;0.137419;
2.949;0.7300;0.051311;0.022412;0.020049;0.008850;-0.705327;14.22697;6.000000;0.007743;0.008850;0.001074;0.000000;0.010163;0.138291;
3.033;0.7400;0.053116;0.023000;0.020208;0.009908;-0.707930;13.93187;6.000000;0.007902;0.009908;0.001074;0.000000;0.010369;0.139162;
3.118;0.7500;0.055039;0.023596;0.020374;0.011069;-0.710533;13.62665;6.000000;0.008067;0.011069;0.001074;0.000000;0.010577;0.140034;
3.202;0.7600;0.057091;0.024202;0.020546;0.012343;-0.713137;13.31215;6.000000;0.008240;0.012343;0.001074;0.000000;0.010787;0.140905;
3.287;0.7700;0.059279;0.024816;0.020725;0.013739;-0.715740;12.98932;6.000000;0.008419;0.013739;0.001074;0.000000;0.010999;0.141777;
3.372;0.7800;0.061616;0.025439;0.020911;0.015266;-0.718343;12.65913;6.000000;0.008605;0.015266;0.001074;0.000000;0.011212;0.142648;
3.456;0.7900;0.064110;0.026070;0.021105;0.016935;-0.720947;12.32261;6.000000;0.008798;0.016935;0.001074;0.000000;0.011428;0.143520;
3.541;0.8000;0.066774;0.026711;0.021306;0.018757;-0.723550;11.98080;6.000000;0.008999;0.018757;0.001074;0.000000;0.011645;0.144391;
3.625;0.8100;0.069619;0.027360;0.021514;0.020744;-0.726154;11.63478;6.000000;0.009208;0.020744;0.001074;0.000000;0.011865;0.145263;
3.710;0.8200;0.072659;0.028019;0.021731;0.022909;-0.728757;11.28562;6.000000;0.009425;0.022909;0.001074;0.000000;0.012086;0.146134;
3.794;0.8300;0.075907;0.028686;0.021955;0.025266;-0.731360;10.93443;6.000000;0.009649;0.025266;0.001074;0.000000;0.012309;0.147006;
3.879;0.8400;0.079378;0.029362;0.022188;0.027828;-0.733964;10.58225;6.000000;0.009882;0.027828;0.001074;0.000000;0.012534;0.147877;
