# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/trimmed_designCruisePolar_078_plot.csv
AoA; C_L; C_Dtotal; C_Dind; C_Dvisc; C_Dwave; C_M; L/D; i_stab
1.725;0.4400;0.025762;0.008116;0.017517;0.000128;0.000000;17.07969;-1.859245;
1.814;0.4500;0.026175;0.008427;0.017552;0.000196;0.000000;17.19174;-1.891625;
1.902;0.4600;0.026607;0.008745;0.017590;0.000272;0.000000;17.28848;-1.924017;
1.990;0.4700;0.027059;0.009071;0.017630;0.000357;0.000000;17.36977;-1.956423;
2.079;0.4800;0.027530;0.009405;0.017673;0.000452;0.000000;17.43541;-1.988842;
2.167;0.4900;0.028024;0.009746;0.017719;0.000558;0.000000;17.48524;-2.021273;
2.256;0.5000;0.028540;0.010096;0.017767;0.000677;0.000000;17.51907;-2.053718;
2.344;0.5100;0.029082;0.010453;0.017819;0.000809;0.000000;17.53672;-2.086175;
2.432;0.5200;0.029650;0.010819;0.017874;0.000957;0.000000;17.53804;-2.118646;
2.521;0.5300;0.030246;0.011192;0.017932;0.001123;0.000000;17.52281;-2.151129;
2.609;0.5400;0.030873;0.011574;0.017993;0.001307;0.000000;17.49089;-2.183625;
2.697;0.5500;0.031533;0.011963;0.018058;0.001512;0.000000;17.44211;-2.216135;
2.786;0.5600;0.032228;0.012360;0.018126;0.001741;0.000000;17.37635;-2.248657;
2.874;0.5700;0.032960;0.012766;0.018198;0.001996;0.000000;17.29348;-2.281193;
2.963;0.5800;0.033734;0.013180;0.018274;0.002280;0.000000;17.19343;-2.313741;
3.051;0.5900;0.034551;0.013602;0.018355;0.002595;0.000000;17.07617;-2.346303;
3.139;0.6000;0.035416;0.014032;0.018439;0.002945;0.000000;16.94168;-2.378877;
3.228;0.6100;0.036331;0.014470;0.018528;0.003334;0.000000;16.79003;-2.411465;
3.316;0.6200;0.037301;0.014916;0.018621;0.003764;0.000000;16.62132;-2.444066;
3.404;0.6300;0.038331;0.015371;0.018718;0.004242;0.000000;16.43572;-2.476679;
3.493;0.6400;0.039425;0.015834;0.018821;0.004770;0.000000;16.23350;-2.509306;
3.581;0.6500;0.040587;0.016306;0.018928;0.005353;0.000000;16.01495;-2.541946;
3.670;0.6600;0.041824;0.016786;0.019041;0.005998;0.000000;15.78049;-2.574599;
3.758;0.6700;0.043141;0.017274;0.019158;0.006708;0.000000;15.53060;-2.607265;
3.846;0.6800;0.044544;0.017770;0.019281;0.007492;0.000000;15.26585;-2.639944;
3.935;0.6900;0.046040;0.018276;0.019410;0.008355;0.000000;14.98689;-2.672636;
4.023;0.7000;0.047637;0.018789;0.019544;0.009303;0.000000;14.69448;-2.705342;
4.111;0.7100;0.049342;0.019311;0.019685;0.010346;0.000000;14.38943;-2.738060;
4.200;0.7200;0.051163;0.019842;0.019831;0.011490;0.000000;14.07268;-2.770792;
4.288;0.7300;0.053109;0.020381;0.019983;0.012745;0.000000;13.74519;-2.803537;
4.377;0.7400;0.055191;0.020929;0.020142;0.014119;0.000000;13.40803;-2.836295;
