# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/systems_design_requirement_mission_power_accumulated_power_plot.csv
# (1) MissionsStep; (2) BleedAir [kg/s]; (3) Electric [W]; (4) Hydraulic [W] 
1; 1.98314;57511.8;4959.72;
2; 3.16606;57511.5;4958.59;
3; 3.12485;57510.2;4954.49;
4; 3.1064;58004.8;6615.36;
5; 3.11108;59076.3;10213.7;
6; 3.01504;57964.1;12040;
7; 2.9364;61580.1;14380.6;
8; 0.924694;66547.3;16697;
9; 0.924694;59453.1;14215.3;
10; 0.924694;58956.6;12547.8;
11; 3.10561;57756.4;8517.41;
12; 3.1018;56884.3;5588.6;
13; 3.10045;56572.9;4542.93;
14; 3.11983;56294.3;3607.25;
15; 3.14026;56255.5;3476.86;
16; 3.14697;56217.3;3348.79;
17; 3.16688;56217.7;3349.84;
18; 3.17735;55469.7;838.159;
