# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/systems_design_study_mission_power_accumulated_power_plot.csv
# (1) MissionsStep; (2) BleedAir [kg/s]; (3) Electric [W]; (4) Hydraulic [W] 
1; 1.98314;57511.8;4959.72;
2; 2.96971;57511.5;4958.59;
3; 2.9285;57510.2;4954.49;
4; 2.91006;58004.8;6615.36;
5; 2.91473;59076.3;10213.7;
6; 2.81869;57964.1;12040;
7; 2.74006;61580.1;14380.6;
8; 0.727591;66156.4;15384.4;
9; 0.727591;65826.6;14276.8;
10; 0.727591;66001.9;14865.5;
11; 0.727591;66330.2;15968;
12; 2.72459;59502.3;14380.6;
13; 2.8177;58805.4;12040;
14; 2.90926;57756.4;8517.41;
15; 2.90546;56884.3;5588.6;
16; 2.9041;56572.9;4542.93;
17; 2.92349;56294.3;3607.25;
18; 2.94392;56255.5;3476.86;
19; 2.95062;56217.3;3348.79;
20; 2.97054;56217.7;3349.84;
21; 2.98101;55469.7;838.159;
