# End of Life Phase Emissions and Energy Demand
Category;CO2;H2O;NOx;CO;SO2;CH4;PM10;Secondary_Energy;CED
Dismantling;2.384268e+03;2.124648e+04;4.042659e+00;1.663689e+00;7.788609e+00;4.826818e+00;5.828211e-02;1.907414e+10;5.569650e+10
Material_Processing;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;6.377867e+11
Transport_to_Site;1.659632e+04;6.324416e+03;7.449893e+01;1.182250e+01;4.427091e+00;0.000000e+00;9.063601e-02;2.107492e+11;2.621113e+11
Total;-1.403952e+05;-1.984733e+06;-3.132843e+02;-5.896203e+02;-7.337609e+02;-3.356144e+02;1.023223e-01;2.298233e+11;-2.110328e+12
