# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/tawCalculatePolar_M068_design_-600_plot.csv
# Clean Polar
# Mach Number 0.680000
AoA; C_L; C_Dtotal; C_Dind; C_Dvisc; C_Dwave; C_M; L/D; i_stab; C_Dvisc_wing; C_Dwave_wing; C_Dvisc_stab; C_Dwave_stab; C_Dind_stab; C_L_stab
-4.782;-0.4000;0.033499;0.015714;0.017785;0.000000;0.529540;-11.94054;-6.000000;0.005200;0.000000;0.001096;0.000000;0.013064;-0.164178;
-4.692;-0.3900;0.033092;0.015332;0.017760;0.000000;0.526935;-11.78517;-6.000000;0.005175;0.000000;0.001096;0.000000;0.012838;-0.163322;
-4.603;-0.3800;0.032695;0.014957;0.017738;0.000000;0.524330;-11.62262;-6.000000;0.005152;0.000000;0.001096;0.000000;0.012614;-0.162467;
-4.514;-0.3700;0.032307;0.014590;0.017717;0.000000;0.521724;-11.45278;-6.000000;0.005131;0.000000;0.001096;0.000000;0.012391;-0.161611;
-4.424;-0.3600;0.031927;0.014230;0.017697;0.000000;0.519119;-11.27558;-6.000000;0.005112;0.000000;0.001096;0.000000;0.012169;-0.160756;
-4.335;-0.3500;0.031557;0.013878;0.017679;0.000000;0.516513;-11.09093;-6.000000;0.005094;0.000000;0.001096;0.000000;0.011950;-0.159900;
-4.246;-0.3400;0.031196;0.013533;0.017663;0.000000;0.513908;-10.89876;-6.000000;0.005077;0.000000;0.001096;0.000000;0.011732;-0.159045;
-4.157;-0.3300;0.030844;0.013196;0.017648;0.000000;0.511303;-10.69899;-6.000000;0.005062;0.000000;0.001096;0.000000;0.011516;-0.158190;
-4.067;-0.3200;0.030501;0.012867;0.017634;0.000000;0.508697;-10.49157;-6.000000;0.005049;0.000000;0.001096;0.000000;0.011301;-0.157334;
-3.978;-0.3100;0.030166;0.012545;0.017621;0.000000;0.506092;-10.27645;-6.000000;0.005036;0.000000;0.001096;0.000000;0.011086;-0.156472;
-3.889;-0.3000;0.029840;0.012230;0.017610;0.000000;0.503486;-10.05357;-6.000000;0.005025;0.000000;0.001096;0.000000;0.010870;-0.155594;
-3.800;-0.2900;0.029523;0.011923;0.017600;0.000000;0.500881;-9.82291;-6.000000;0.005015;0.000000;0.001096;0.000000;0.010655;-0.154717;
-3.710;-0.2800;0.029214;0.011623;0.017591;0.000000;0.498276;-9.58443;-6.000000;0.005005;0.000000;0.001096;0.000000;0.010441;-0.153839;
-3.621;-0.2700;0.028914;0.011331;0.017582;0.000000;0.495670;-9.33811;-6.000000;0.004997;0.000000;0.001096;0.000000;0.010230;-0.152962;
-3.532;-0.2600;0.028622;0.011047;0.017575;0.000000;0.493065;-9.08396;-6.000000;0.004990;0.000000;0.001096;0.000000;0.010020;-0.152084;
-3.442;-0.2500;0.028338;0.010770;0.017568;0.000000;0.490460;-8.82197;-6.000000;0.004983;0.000000;0.001096;0.000000;0.009812;-0.151207;
-3.353;-0.2400;0.028063;0.010501;0.017562;0.000000;0.487854;-8.55215;-6.000000;0.004977;0.000000;0.001096;0.000000;0.009606;-0.150329;
-3.264;-0.2300;0.027796;0.010239;0.017557;0.000000;0.485249;-8.27453;-6.000000;0.004972;0.000000;0.001096;0.000000;0.009401;-0.149452;
-3.175;-0.2200;0.027537;0.009985;0.017553;0.000000;0.482643;-7.98916;-6.000000;0.004967;0.000000;0.001096;0.000000;0.009198;-0.148574;
-3.085;-0.2100;0.027287;0.009738;0.017549;0.000000;0.480038;-7.69608;-6.000000;0.004963;0.000000;0.001096;0.000000;0.008997;-0.147697;
-2.996;-0.2000;0.027044;0.009499;0.017545;0.000000;0.477433;-7.39535;-6.000000;0.004960;0.000000;0.001096;0.000000;0.008798;-0.146820;
-2.907;-0.1900;0.026809;0.009267;0.017542;0.000000;0.474827;-7.08705;-6.000000;0.004957;0.000000;0.001096;0.000000;0.008601;-0.145942;
-2.817;-0.1800;0.026583;0.009043;0.017540;0.000000;0.472222;-6.77127;-6.000000;0.004954;0.000000;0.001096;0.000000;0.008405;-0.145065;
-2.728;-0.1700;0.026364;0.008827;0.017537;0.000000;0.469616;-6.44812;-6.000000;0.004952;0.000000;0.001096;0.000000;0.008211;-0.144187;
-2.639;-0.1600;0.026154;0.008618;0.017536;0.000000;0.467011;-6.11772;-6.000000;0.004950;0.000000;0.001096;0.000000;0.008018;-0.143310;
-2.550;-0.1500;0.025951;0.008417;0.017534;0.000000;0.464406;-5.78019;-6.000000;0.004949;0.000000;0.001096;0.000000;0.007828;-0.142432;
-2.460;-0.1400;0.025756;0.008223;0.017533;0.000000;0.461800;-5.43569;-6.000000;0.004948;0.000000;0.001096;0.000000;0.007639;-0.141555;
-2.371;-0.1300;0.025568;0.008037;0.017532;0.000000;0.459195;-5.08438;-6.000000;0.004947;0.000000;0.001096;0.000000;0.007452;-0.140677;
-2.282;-0.1200;0.025389;0.007858;0.017531;0.000000;0.456589;-4.72644;-6.000000;0.004946;0.000000;0.001096;0.000000;0.007266;-0.139800;
-2.193;-0.1100;0.025217;0.007687;0.017531;0.000000;0.453984;-4.36207;-6.000000;0.004945;0.000000;0.001096;0.000000;0.007083;-0.138922;
-2.103;-0.1000;0.025053;0.007523;0.017530;0.000000;0.451379;-3.99147;-6.000000;0.004945;0.000000;0.001096;0.000000;0.006901;-0.138045;
-2.014;-0.0900;0.024897;0.007367;0.017530;0.000000;0.448773;-3.61487;-6.000000;0.004944;0.000000;0.001096;0.000000;0.006721;-0.137167;
-1.925;-0.0800;0.024749;0.007219;0.017530;0.000000;0.446168;-3.23251;-6.000000;0.004944;0.000000;0.001096;0.000000;0.006539;-0.136272;
-1.835;-0.0700;0.024608;0.007078;0.017529;0.000000;0.443562;-2.84464;-6.000000;0.004944;0.000000;0.001096;0.000000;0.006358;-0.135375;
-1.746;-0.0600;0.024475;0.006945;0.017529;0.000000;0.440957;-2.45151;-6.000000;0.004944;0.000000;0.001096;0.000000;0.006180;-0.134478;
-1.657;-0.0500;0.024351;0.006821;0.017529;0.000000;0.438352;-2.05334;-6.000000;0.004944;0.000000;0.001096;0.000000;0.006003;-0.133581;
-1.568;-0.0400;0.024234;0.006705;0.017529;0.000000;0.435746;-1.65059;-6.000000;0.004944;0.000000;0.001096;0.000000;0.005828;-0.132684;
-1.478;-0.0300;0.024124;0.006595;0.017529;0.000000;0.433141;-1.24356;-6.000000;0.004944;0.000000;0.001096;0.000000;0.005654;-0.131787;
-1.389;-0.0200;0.024022;0.006493;0.017529;0.000000;0.430535;-0.83256;-6.000000;0.004944;0.000000;0.001096;0.000000;0.005483;-0.130890;
-1.300;-0.0100;0.023927;0.006398;0.017529;0.000000;0.427930;-0.41793;-6.000000;0.004944;0.000000;0.001096;0.000000;0.005313;-0.129993;
-1.211;0.0000;0.023840;0.006311;0.017529;0.000000;0.425325;0.00000;-6.000000;0.004944;0.000000;0.001096;0.000000;0.005146;-0.129096;
-1.121;0.0100;0.023760;0.006231;0.017529;0.000000;0.422719;0.42087;-6.000000;0.004944;0.000000;0.001096;0.000000;0.004980;-0.128199;
-1.032;0.0200;0.023687;0.006158;0.017529;0.000000;0.420114;0.84433;-6.000000;0.004944;0.000000;0.001096;0.000000;0.004816;-0.127302;
-0.943;0.0300;0.023622;0.006093;0.017529;0.000000;0.417508;1.26998;-6.000000;0.004944;0.000000;0.001096;0.000000;0.004653;-0.126405;
-0.853;0.0400;0.023565;0.006036;0.017529;0.000000;0.414903;1.69744;-6.000000;0.004944;0.000000;0.001096;0.000000;0.004493;-0.125508;
-0.764;0.0500;0.023515;0.005986;0.017529;0.000000;0.412298;2.12632;-6.000000;0.004944;0.000000;0.001096;0.000000;0.004334;-0.124612;
-0.675;0.0600;0.023472;0.005943;0.017529;0.000000;0.409692;2.55619;-6.000000;0.004944;0.000000;0.001096;0.000000;0.004177;-0.123715;
-0.586;0.0700;0.023438;0.005908;0.017529;0.000000;0.407087;2.98665;-6.000000;0.004944;0.000000;0.001096;0.000000;0.004022;-0.122818;
-0.496;0.0800;0.023411;0.005881;0.017530;0.000000;0.404482;3.41726;-6.000000;0.004944;0.000000;0.001096;0.000000;0.003869;-0.121921;
-0.407;0.0900;0.023391;0.005861;0.017530;0.000000;0.401876;3.84760;-6.000000;0.004944;0.000000;0.001096;0.000000;0.003718;-0.121024;
-0.318;0.1000;0.023380;0.005849;0.017530;0.000000;0.399271;4.27723;-6.000000;0.004945;0.000000;0.001096;0.000000;0.003568;-0.120127;
-0.228;0.1100;0.023376;0.005845;0.017531;0.000000;0.396665;4.70571;-6.000000;0.004945;0.000000;0.001096;0.000000;0.003420;-0.119230;
-0.139;0.1200;0.023380;0.005849;0.017531;0.000000;0.394060;5.13260;-6.000000;0.004946;0.000000;0.001096;0.000000;0.003275;-0.118333;
-0.050;0.1300;0.023392;0.005860;0.017532;0.000000;0.391455;5.55744;-6.000000;0.004947;0.000000;0.001096;0.000000;0.003130;-0.117436;
