# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/tawCalculatePolar_liftDistribution_078_plot.csv
# (1)C_L; (2)C_Lw; (3)y, m; (4)C_l; (5)Cl*l, m
-0.140000;-0.096479;5.864917;-0.081121;4.102494
-0.140000;-0.096479;7.518152;-0.076239;3.635507
-0.140000;-0.096479;9.120731;-0.073116;3.182828
-0.140000;-0.096479;10.640030;-0.071590;2.753673
-0.140000;-0.096479;12.045120;-0.070700;2.356778
-0.140000;-0.096479;13.307400;-0.069432;2.000223
-0.140000;-0.096479;14.401170;-0.065826;1.691267
-0.140000;-0.096479;15.304170;-0.055503;1.436197
-0.140000;-0.096479;15.998010;-0.031936;1.240209
-0.140000;-0.096479;16.468570;0.000556;1.107290
-0.140000;-0.096479;16.706270;0.010589;1.040147


-0.130000;-0.086776;0.330666;-0.177046;6.019268
-0.130000;-0.086776;0.991996;-0.169775;6.019268
-0.130000;-0.086776;1.653327;-0.147635;6.019268
-0.130000;-0.086776;2.491627;-0.096929;5.739122
-0.130000;-0.086776;3.506896;-0.075363;5.178829
-0.130000;-0.086776;4.522165;-0.072936;4.618536
-0.130000;-0.086776;5.864917;-0.071121;4.102494
-0.130000;-0.086776;7.518152;-0.065643;3.635507
-0.130000;-0.086776;9.120731;-0.061921;3.182828
-0.130000;-0.086776;10.640030;-0.059815;2.753673
-0.130000;-0.086776;12.045120;-0.058392;2.356778
-0.130000;-0.086776;13.307400;-0.056693;2.000223
-0.130000;-0.086776;14.401170;-0.052888;1.691267
-0.130000;-0.086776;15.304170;-0.042902;1.436197
-0.130000;-0.086776;15.998010;-0.020771;1.240209
-0.130000;-0.086776;16.468570;0.008652;1.107290
-0.130000;-0.086776;16.706270;0.014103;1.040147


-0.120000;-0.077072;0.330666;-0.169417;6.019268
-0.120000;-0.077072;0.991996;-0.162174;6.019268
-0.120000;-0.077072;1.653327;-0.140106;6.019268
-0.120000;-0.077072;2.491627;-0.089101;5.739122
-0.120000;-0.077072;3.506896;-0.066846;5.178829
-0.120000;-0.077072;4.522165;-0.063647;4.618536
-0.120000;-0.077072;5.864917;-0.061120;4.102494
-0.120000;-0.077072;7.518152;-0.055047;3.635507
-0.120000;-0.077072;9.120731;-0.050725;3.182828
-0.120000;-0.077072;10.640030;-0.048040;2.753673
-0.120000;-0.077072;12.045120;-0.046084;2.356778
-0.120000;-0.077072;13.307400;-0.043954;2.000223
-0.120000;-0.077072;14.401170;-0.039950;1.691267
-0.120000;-0.077072;15.304170;-0.030301;1.436197
-0.120000;-0.077072;15.998010;-0.009606;1.240209
-0.120000;-0.077072;16.468570;0.016748;1.107290
-0.120000;-0.077072;16.706270;0.017617;1.040147


-0.110000;-0.067367;0.330666;-0.161787;6.019268
-0.110000;-0.067367;0.991996;-0.154571;6.019268
-0.110000;-0.067367;1.653327;-0.132576;6.019268
-0.110000;-0.067367;2.491627;-0.081274;5.739122
-0.110000;-0.067367;3.506896;-0.058329;5.178829
-0.110000;-0.067367;4.522165;-0.054357;4.618536
-0.110000;-0.067367;5.864917;-0.051118;4.102494
-0.110000;-0.067367;7.518152;-0.044451;3.635507
-0.110000;-0.067367;9.120731;-0.039528;3.182828
-0.110000;-0.067367;10.640030;-0.036264;2.753673
-0.110000;-0.067367;12.045120;-0.033775;2.356778
-0.110000;-0.067367;13.307400;-0.031213;2.000223
-0.110000;-0.067367;14.401170;-0.027011;1.691267
-0.110000;-0.067367;15.304170;-0.017699;1.436197
-0.110000;-0.067367;15.998010;0.001561;1.240209
-0.110000;-0.067367;16.468570;0.024844;1.107290
-0.110000;-0.067367;16.706270;0.021131;1.040147


-0.100000;-0.057663;0.330666;-0.154158;6.019268
-0.100000;-0.057663;0.991996;-0.146969;6.019268
-0.100000;-0.057663;1.653327;-0.125046;6.019268
-0.100000;-0.057663;2.491627;-0.073445;5.739122
-0.100000;-0.057663;3.506896;-0.049811;5.178829
-0.100000;-0.057663;4.522165;-0.045067;4.618536
-0.100000;-0.057663;5.864917;-0.041117;4.102494
-0.100000;-0.057663;7.518152;-0.033854;3.635507
-0.100000;-0.057663;9.120731;-0.028331;3.182828
-0.100000;-0.057663;10.640030;-0.024488;2.753673
-0.100000;-0.057663;12.045120;-0.021466;2.356778
-0.100000;-0.057663;13.307400;-0.018473;2.000223
-0.100000;-0.057663;14.401170;-0.014071;1.691267
-0.100000;-0.057663;15.304170;-0.005097;1.436197
-0.100000;-0.057663;15.998010;0.012727;1.240209
