# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/tawCalculatePolar_M079_design_000_plot.csv
# Clean Polar
# Mach Number 0.790000
AoA; C_L; C_Dtotal; C_Dind; C_Dvisc; C_Dwave; C_M; L/D; i_stab; C_Dvisc_wing; C_Dwave_wing; C_Dvisc_stab; C_Dwave_stab; C_Dind_stab; C_L_stab
-4.714;-0.3000;0.022821;0.005639;0.017182;0.000000;0.041006;-13.14575;0.000000;0.004967;0.000000;0.001075;0.000000;0.002727;-0.057228;
-4.632;-0.2900;0.022559;0.005387;0.017172;0.000000;0.038413;-12.85534;0.000000;0.004957;0.000000;0.001075;0.000000;0.002630;-0.056383;
-4.549;-0.2800;0.022305;0.005142;0.017163;0.000000;0.035820;-12.55341;0.000000;0.004948;0.000000;0.001075;0.000000;0.002536;-0.055537;
-4.467;-0.2700;0.022059;0.004904;0.017155;0.000000;0.033226;-12.23994;0.000000;0.004940;0.000000;0.001075;0.000000;0.002443;-0.054691;
-4.384;-0.2600;0.021821;0.004674;0.017147;0.000000;0.030633;-11.91494;0.000000;0.004932;0.000000;0.001075;0.000000;0.002351;-0.053846;
-4.302;-0.2500;0.021592;0.004451;0.017140;0.000000;0.028040;-11.57842;0.000000;0.004925;0.000000;0.001075;0.000000;0.002261;-0.053000;
-4.219;-0.2400;0.021371;0.004236;0.017135;0.000000;0.025447;-11.23042;0.000000;0.004920;0.000000;0.001075;0.000000;0.002173;-0.052155;
-4.137;-0.2300;0.021157;0.004028;0.017129;0.000000;0.022854;-10.87103;0.000000;0.004914;0.000000;0.001075;0.000000;0.002087;-0.051309;
-4.054;-0.2200;0.020952;0.003827;0.017125;0.000000;0.020261;-10.50032;0.000000;0.004910;0.000000;0.001075;0.000000;0.002002;-0.050463;
-3.972;-0.2100;0.020754;0.003633;0.017121;0.000000;0.017667;-10.11841;0.000000;0.004906;0.000000;0.001075;0.000000;0.001918;-0.049614;
-3.889;-0.2000;0.020565;0.003447;0.017117;0.000000;0.015074;-9.72545;0.000000;0.004902;0.000000;0.001075;0.000000;0.001836;-0.048759;
-3.807;-0.1900;0.020383;0.003268;0.017114;0.000000;0.012481;-9.32160;0.000000;0.004899;0.000000;0.001075;0.000000;0.001755;-0.047905;
-3.725;-0.1800;0.020209;0.003097;0.017112;0.000000;0.009888;-8.90705;0.000000;0.004897;0.000000;0.001075;0.000000;0.001676;-0.047050;
-3.642;-0.1700;0.020042;0.002933;0.017110;0.000000;0.007295;-8.48203;0.000000;0.004895;0.000000;0.001075;0.000000;0.001598;-0.046195;
-3.560;-0.1600;0.019884;0.002776;0.017108;0.000000;0.004701;-8.04679;0.000000;0.004893;0.000000;0.001075;0.000000;0.001523;-0.045341;
-3.477;-0.1500;0.019733;0.002626;0.017106;0.000000;0.002108;-7.60160;0.000000;0.004891;0.000000;0.001075;0.000000;0.001448;-0.044486;
-3.395;-0.1400;0.019589;0.002484;0.017105;0.000000;-0.000485;-7.14676;0.000000;0.004890;0.000000;0.001075;0.000000;0.001376;-0.043631;
-3.312;-0.1300;0.019453;0.002349;0.017104;0.000000;-0.003078;-6.68262;0.000000;0.004889;0.000000;0.001075;0.000000;0.001305;-0.042777;
-3.230;-0.1200;0.019325;0.002222;0.017103;0.000000;-0.005671;-6.20951;0.000000;0.004888;0.000000;0.001075;0.000000;0.001236;-0.041922;
-3.147;-0.1100;0.019204;0.002102;0.017103;0.000000;-0.008264;-5.72785;0.000000;0.004888;0.000000;0.001075;0.000000;0.001168;-0.041067;
-3.065;-0.1000;0.019091;0.001989;0.017102;0.000000;-0.010858;-5.23802;0.000000;0.004887;0.000000;0.001075;0.000000;0.001103;-0.040213;
-2.982;-0.0900;0.018985;0.001883;0.017102;0.000000;-0.013451;-4.74049;0.000000;0.004887;0.000000;0.001075;0.000000;0.001039;-0.039358;
-2.900;-0.0800;0.018887;0.001785;0.017102;0.000000;-0.016044;-4.23571;0.000000;0.004887;0.000000;0.001075;0.000000;0.000976;-0.038504;
-2.817;-0.0700;0.018796;0.001694;0.017102;0.000000;-0.018637;-3.72417;0.000000;0.004887;0.000000;0.001075;0.000000;0.000915;-0.037649;
-2.735;-0.0600;0.018713;0.001611;0.017102;0.000000;-0.021230;-3.20639;0.000000;0.004887;0.000000;0.001075;0.000000;0.000856;-0.036794;
-2.652;-0.0500;0.018637;0.001535;0.017101;0.000000;-0.023823;-2.68290;0.000000;0.004886;0.000000;0.001075;0.000000;0.000799;-0.035940;
-2.570;-0.0400;0.018568;0.001466;0.017101;0.000000;-0.026417;-2.15426;0.000000;0.004886;0.000000;0.001075;0.000000;0.000743;-0.035085;
-2.487;-0.0300;0.018507;0.001405;0.017101;0.000000;-0.029010;-1.62105;0.000000;0.004886;0.000000;0.001075;0.000000;0.000689;-0.034230;
-2.405;-0.0200;0.018453;0.001351;0.017101;0.000000;-0.031603;-1.08386;0.000000;0.004886;0.000000;0.001075;0.000000;0.000636;-0.033376;
-2.322;-0.0100;0.018406;0.001305;0.017101;0.000000;-0.034196;-0.54330;0.000000;0.004886;0.000000;0.001075;0.000000;0.000585;-0.032521;
-2.240;0.0000;0.018367;0.001265;0.017101;0.000000;-0.036789;0.00000;0.000000;0.004886;0.000000;0.001075;0.000000;0.000536;-0.031666;
-2.157;0.0100;0.018335;0.001234;0.017101;0.000000;-0.039382;0.54540;0.000000;0.004886;0.000000;0.001075;0.000000;0.000489;-0.030812;
-2.075;0.0200;0.018311;0.001209;0.017101;0.000000;-0.041976;1.09226;0.000000;0.004886;0.000000;0.001075;0.000000;0.000443;-0.029957;
-1.993;0.0300;0.018294;0.001192;0.017101;0.000000;-0.044569;1.63992;0.000000;0.004886;0.000000;0.001075;0.000000;0.000399;-0.029102;
-1.910;0.0400;0.018284;0.001182;0.017101;0.000000;-0.047162;2.18772;0.000000;0.004886;0.000000;0.001075;0.000000;0.000356;-0.028241;
-1.828;0.0500;0.018282;0.001180;0.017101;0.000000;-0.049755;2.73499;0.000000;0.004886;0.000000;0.001075;0.000000;0.000315;-0.027379;
-1.745;0.0600;0.018287;0.001185;0.017102;0.000000;-0.052348;3.28106;0.000000;0.004887;0.000000;0.001075;0.000000;0.000275;-0.026518;
-1.663;0.0700;0.018299;0.001198;0.017102;0.000000;-0.054941;3.82528;0.000000;0.004887;0.000000;0.001075;0.000000;0.000238;-0.025657;
-1.580;0.0800;0.018320;0.001218;0.017102;0.000000;-0.057535;4.36682;0.000000;0.004887;0.000000;0.001075;0.000000;0.000202;-0.024796;
-1.498;0.0900;0.018349;0.001247;0.017102;0.000000;-0.060128;4.90498;0.000000;0.004887;0.000000;0.001075;0.000000;0.000167;-0.023935;
-1.415;0.1000;0.018385;0.001282;0.017102;0.000000;-0.062721;5.43932;0.000000;0.004887;0.000000;0.001075;0.000000;0.000135;-0.023074;
-1.333;0.1100;0.018428;0.001325;0.017103;0.000000;-0.065314;5.96923;0.000000;0.004888;0.000000;0.001075;0.000000;0.000104;-0.022213;
-1.250;0.1200;0.018478;0.001375;0.017103;0.000000;-0.067907;6.49409;0.000000;0.004888;0.000000;0.001075;0.000000;0.000074;-0.021352;
-1.168;0.1300;0.018536;0.001432;0.017104;0.000000;-0.070500;7.01330;0.000000;0.004889;0.000000;0.001075;0.000000;0.000047;-0.020491;
-1.085;0.1400;0.018602;0.001496;0.017105;0.000000;-0.073094;7.52627;0.000000;0.004890;0.000000;0.001075;0.000000;0.000021;-0.019630;
-1.003;0.1500;0.018674;0.001568;0.017106;0.000000;-0.075687;8.03243;0.000000;0.004891;0.000000;0.001075;0.000000;-0.000003;-0.018769;
-0.920;0.1600;0.018755;0.001647;0.017108;0.000000;-0.078280;8.53124;0.000000;0.004893;0.000000;0.001075;0.000000;-0.000026;-0.017907;
-0.838;0.1700;0.018843;0.001733;0.017110;0.000000;-0.080873;9.02214;0.000000;0.004895;0.000000;0.001075;0.000000;-0.000047;-0.017046;
-0.755;0.1800;0.018938;0.001826;0.017112;0.000000;-0.083466;9.50464;0.000000;0.004897;0.000000;0.001075;0.000000;-0.000066;-0.016185;
-0.673;0.1900;0.019041;0.001927;0.017114;0.000000;-0.086060;9.97823;0.000000;0.004899;0.000000;0.001075;0.000000;-0.000083;-0.015324;
-0.590;0.2000;0.019153;0.002035;0.017117;0.000000;-0.088653;10.44245;0.000000;0.004902;0.000000;0.001075;0.000000;-0.000099;-0.014463;
-0.508;0.2100;0.019272;0.002151;0.017121;0.000000;-0.091246;10.89685;0.000000;0.004906;0.000000;0.001075;0.000000;-0.000113;-0.013602;
-0.425;0.2200;0.019399;0.002274;0.017125;0.000000;-0.093839;11.34103;0.000000;0.004910;0.000000;0.001075;0.000000;-0.000125;-0.012741;
-0.343;0.2300;0.019534;0.002404;0.017129;0.000000;-0.096432;11.77458;0.000000;0.004914;0.000000;0.001075;0.000000;-0.000136;-0.011880;
-0.261;0.2400;0.019677;0.002542;0.017135;0.000000;-0.099025;12.19716;0.000000;0.004920;0.000000;0.001075;0.000000;-0.000145;-0.011019;
-0.178;0.2500;0.019828;0.002688;0.017140;0.000000;-0.101619;12.60841;0.000000;0.004925;0.000000;0.001075;0.000000;-0.000152;-0.010158;
-0.096;0.2600;0.019988;0.002840;0.017147;0.000000;-0.104212;13.00805;0.000000;0.004932;0.000000;0.001075;0.000000;-0.000158;-0.009297;
-0.013;0.2700;0.020156;0.003001;0.017155;0.000000;-0.106805;13.39579;0.000000;0.004940;0.000000;0.001075;0.000000;-0.000162;-0.008435;
0.069;0.2800;0.020332;0.003169;0.017163;0.000000;-0.109398;13.77140;0.000000;0.004948;0.000000;0.001075;0.000000;-0.000164;-0.007571;
0.152;0.2900;0.020517;0.003345;0.017172;0.000000;-0.111991;14.13465;0.000000;0.004957;0.000000;0.001075;0.000000;-0.000164;-0.006706;
0.234;0.3000;0.020711;0.003528;0.017182;0.000000;-0.114584;14.48537;0.000000;0.004967;0.000000;0.001075;0.000000;-0.000163;-0.005841;
