# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/systems_design_study_mission_power_ATA-21_plot.csv
# (1) MissionsStep; (2) BleedAir [kg/s]; (3) Electric [W]; (4) Hydraulic [W]; (5) Altitude [ft]; (6) Mach [-]; (7) Heat load [W]
1; 0;12876.2;0;0;0.24188;0;
2; 0.986574;12876.2;0;228.6;0.24517;4429.33;
3; 0.945364;12876.2;0;685.8;0.251873;4260.44;
4; 0.92692;12876.2;0;914.4;0.295077;4184.86;
5; 0.931595;12876.2;0;914.4;0.366648;4204.02;
6; 0.835554;12876.2;0;1981.2;0.425349;3810.44;
7; 0.756922;12876.2;0;3048;0.496658;3488.2;
8; 0.617591;12876.2;0;6858;0.650523;2156.58;
9; 0.617591;12876.2;0;10668;0.77;743.522;
10; 0.617591;12876.2;0;10668;0.78;746.656;
11; 0.617591;12876.2;0;6858;0.660523;2159.69;
12; 0.741457;12876.2;0;3048;0.496658;3424.82;
13; 0.83456;12876.2;0;1981.2;0.425349;3806.36;
14; 0.926128;12876.2;0;914.4;0.334821;4181.61;
15; 0.922323;12876.2;0;914.4;0.271213;4166.02;
16; 0.920964;12876.2;0;914.4;0.244527;4160.45;
17; 0.940351;12876.2;0;685.8;0.214917;4239.9;
18; 0.960784;12876.2;0;457.2;0.208112;4323.63;
19; 0.967485;12876.2;0;381;0.203315;4351.1;
20; 0.987402;12876.2;0;160.02;0.200686;4432.72;
21; 0.997873;12876.2;0;7.62;0.0994874;4475.63;
