# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/mission_analysis_study_mission_SAR.csv
# Diagram about specific air range
# Ma-Number [-]; Altitude [FL]; AC mass [kg]; SAR [m/kg];
0.74; 320; 43.4675; 549.681; 
0.74; 325; 43.4675; 558.119; 
0.74; 330; 43.4675; 566.486; 
0.74; 335; 43.4675; 574.737; 
0.74; 340; 43.4675; 582.993; 
0.74; 345; 43.4675; 591.216; 
0.74; 350; 43.4675; 599.21; 
0.74; 355; 43.4675; 607.15; 
0.74; 360; 43.4675; 615.02; 
0.74; 365; 43.4675; 622.237; 
0.74; 370; 43.4675; 629.141; 
0.74; 375; 43.4675; 635.831; 
0.74; 380; 43.4675; 642.171; 
0.74; 385; 43.4675; 648.051; 
0.74; 390; 43.4675; 653.536; 
0.74; 395; 43.4675; 658.558; 
0.74; 400; 43.4675; 662.787; 
0.74; 405; 43.4675; 666.472; 
0.74; 260; 44.746; 447.771; 
0.74; 265; 44.746; 455.581; 
0.74; 270; 44.746; 463.45; 
0.74; 275; 44.746; 471.408; 
0.74; 280; 44.746; 479.443; 
0.74; 285; 44.746; 487.461; 
0.74; 290; 44.746; 495.539; 
0.74; 295; 44.746; 503.716; 
0.74; 300; 44.746; 511.81; 
0.74; 305; 44.746; 519.952; 
0.74; 310; 44.746; 528.141; 
0.74; 315; 44.746; 536.257; 
0.74; 320; 44.746; 544.347; 
0.74; 325; 44.746; 552.467; 
0.74; 330; 44.746; 560.509; 
0.74; 335; 44.746; 568.41; 
0.74; 340; 44.746; 576.294; 
0.74; 345; 44.746; 584.127; 
0.74; 350; 44.746; 591.71; 
0.74; 355; 44.746; 599.217; 
0.74; 360; 44.746; 606.633; 
0.74; 365; 44.746; 613.393; 
0.74; 370; 44.746; 619.827; 
0.74; 375; 44.746; 626.02; 
0.74; 380; 44.746; 631.737; 
0.74; 385; 44.746; 637.004; 
0.74; 390; 44.746; 641.737; 
0.74; 395; 44.746; 645.769; 
0.74; 400; 44.746; 649.266; 
0.74; 405; 44.746; 651.287; 
0.74; 260; 46.0245; 445.068; 
0.74; 265; 46.0245; 452.727; 
0.74; 270; 46.0245; 460.417; 
0.74; 275; 46.0245; 468.189; 
0.74; 280; 46.0245; 476.038; 
0.74; 285; 46.0245; 483.839; 
0.74; 290; 46.0245; 491.702; 
0.74; 295; 46.0245; 499.655; 
0.74; 300; 46.0245; 507.511; 
0.74; 305; 46.0245; 515.386; 
0.74; 310; 46.0245; 523.308; 
0.74; 315; 46.0245; 531.141; 
0.74; 320; 46.0245; 538.93; 
0.74; 325; 46.0245; 546.732; 
0.74; 330; 46.0245; 554.447; 
0.74; 335; 46.0245; 561.998; 
0.74; 340; 46.0245; 569.513; 
0.74; 345; 46.0245; 576.957; 
0.74; 350; 46.0245; 584.131; 
0.74; 355; 46.0245; 591.211; 
0.74; 360; 46.0245; 598.179; 
0.74; 365; 46.0245; 604.488; 
0.74; 370; 46.0245; 610.447; 
0.74; 375; 46.0245; 616.022; 
0.74; 380; 46.0245; 621.137; 
0.74; 385; 46.0245; 625.626; 
0.74; 390; 46.0245; 629.497; 
0.74; 395; 46.0245; 632.879; 
0.74; 400; 46.0245; 634.429; 
0.74; 405; 46.0245; 634.216; 
0.74; 260; 47.3029; 442.318; 
0.74; 265; 47.3029; 449.823; 
0.74; 270; 47.3029; 457.317; 
0.74; 275; 47.3029; 464.912; 
0.74; 280; 47.3029; 472.573; 
0.74; 285; 47.3029; 480.149; 
0.74; 290; 47.3029; 487.8; 
0.74; 295; 47.3029; 495.525; 
0.74; 300; 47.3029; 503.136; 
0.74; 305; 47.3029; 510.749; 
0.74; 310; 47.3029; 518.4; 
0.74; 315; 47.3029; 525.948; 
0.74; 320; 47.3029; 533.436; 
0.74; 325; 47.3029; 540.919; 
0.74; 330; 47.3029; 548.303; 
0.74; 335; 47.3029; 555.51; 
0.74; 340; 47.3029; 562.657; 
0.74; 345; 47.3029; 569.715; 
0.74; 350; 47.3029; 576.485; 
0.74; 355; 47.3029; 583.142; 
0.74; 360; 47.3029; 589.668; 
0.74; 365; 47.3029; 595.494; 
0.74; 370; 47.3029; 600.834; 
0.74; 375; 47.3029; 605.854; 
0.74; 380; 47.3029; 610.237; 
0.74; 385; 47.3029; 613.951; 
0.74; 390; 47.3029; 617.204; 
0.74; 395; 47.3029; 618.262; 
0.74; 400; 47.3029; 617.97; 
0.74; 405; 47.3029; 616.877; 
0.74; 260; 48.5814; 439.522; 
0.74; 265; 48.5814; 446.844; 
0.74; 270; 48.5814; 454.164; 
0.74; 275; 48.5814; 461.581; 
0.74; 280; 48.5814; 469.031; 
0.74; 285; 48.5814; 476.399; 
0.74; 290; 48.5814; 483.835; 
0.74; 295; 48.5814; 491.33; 
0.74; 300; 48.5814; 498.684; 
0.74; 305; 48.5814; 506.041; 
0.74; 310; 48.5814; 513.422; 
0.74; 315; 48.5814; 520.684; 
0.74; 320; 48.5814; 527.87; 
0.74; 325; 48.5814; 535.033; 
0.74; 330; 48.5814; 542.083; 
0.74; 335; 48.5814; 548.946; 
0.74; 340; 48.5814; 555.733; 
0.74; 345; 48.5814; 562.408; 
0.74; 350; 48.5814; 568.772; 
0.74; 355; 48.5814; 574.996; 
0.74; 360; 48.5814; 581.031; 
0.74; 365; 48.5814; 586.284; 
0.74; 370; 48.5814; 591.11; 
0.74; 375; 48.5814; 595.415; 
0.74; 380; 48.5814; 599.097; 
0.74; 385; 48.5814; 602.113; 
0.74; 390; 48.5814; 602.895; 
0.74; 395; 48.5814; 602.546; 
0.74; 400; 48.5814; 601.412; 
0.74; 405; 48.5814; 599.256; 
0.74; 260; 49.8598; 436.674; 
0.74; 265; 49.8598; 443.811; 
0.74; 270; 49.8598; 450.962; 
0.74; 275; 49.8598; 458.196; 
0.74; 280; 49.8598; 465.427; 
0.74; 285; 49.8598; 472.592; 
0.74; 290; 49.8598; 479.81; 
0.74; 295; 49.8598; 487.075; 
0.74; 300; 49.8598; 494.169; 
0.74; 305; 49.8598; 501.269; 
0.74; 310; 49.8598; 508.378; 
0.74; 315; 49.8598; 515.353; 
0.74; 320; 49.8598; 522.238; 
0.74; 325; 49.8598; 529.083; 
0.74; 330; 49.8598; 535.798; 
0.74; 335; 49.8598; 542.31; 
0.74; 340; 49.8598; 548.731; 
0.74; 345; 49.8598; 555.022; 
0.74; 350; 49.8598; 560.982; 
0.74; 355; 49.8598; 566.744; 
0.74; 360; 49.8598; 572.232; 
0.74; 365; 49.8598; 576.983; 
0.74; 370; 49.8598; 581.11; 
0.74; 375; 49.8598; 584.777; 
0.74; 380; 49.8598; 587.604; 
0.74; 385; 49.8598; 588.267; 
0.74; 390; 49.8598; 587.871; 
