# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/tawCalculatePolar_approach_landing_gear_out_design_600_plot.csv
# Clean Polar
# Mach Number 0.200000
AoA; C_L; C_Dtotal; C_M; L/D; i_stab;
-10.007;0.4100;0.104293;-0.261837;3.931217;6.000000;
-9.896;0.4200;0.104356;-0.264091;4.024693;6.000000;
-9.785;0.4300;0.104428;-0.266344;4.117667;6.000000;
-9.675;0.4400;0.104510;-0.268597;4.210113;6.000000;
-9.564;0.4500;0.104602;-0.270851;4.302007;6.000000;
-9.454;0.4600;0.104704;-0.273104;4.393323;6.000000;
-9.343;0.4700;0.104816;-0.275357;4.484038;6.000000;
-9.233;0.4800;0.104938;-0.277611;4.574128;6.000000;
-9.122;0.4900;0.105070;-0.279864;4.663569;6.000000;
-9.012;0.5000;0.105211;-0.282118;4.752339;6.000000;
-8.901;0.5100;0.105363;-0.284371;4.840416;6.000000;
-8.791;0.5200;0.105524;-0.286624;4.927777;6.000000;
-8.680;0.5300;0.105696;-0.288878;5.014401;6.000000;
-8.570;0.5400;0.105877;-0.291131;5.100268;6.000000;
-8.459;0.5500;0.106068;-0.293384;5.185358;6.000000;
-8.348;0.5600;0.106269;-0.295638;5.269650;6.000000;
-8.238;0.5700;0.106480;-0.297891;5.353126;6.000000;
-8.127;0.5800;0.106701;-0.300145;5.435767;6.000000;
-8.017;0.5900;0.106931;-0.302398;5.517556;6.000000;
-7.906;0.6000;0.107172;-0.304651;5.598476;6.000000;
-7.796;0.6100;0.107423;-0.306905;5.678509;6.000000;
-7.685;0.6200;0.107683;-0.309158;5.757640;6.000000;
-7.575;0.6300;0.107953;-0.311411;5.835855;6.000000;
-7.464;0.6400;0.108234;-0.313665;5.913137;6.000000;
-7.354;0.6500;0.108524;-0.315918;5.989474;6.000000;
-7.243;0.6600;0.108824;-0.318172;6.064851;6.000000;
-7.132;0.6700;0.109134;-0.320425;6.139257;6.000000;
-7.022;0.6800;0.109454;-0.322678;6.212679;6.000000;
-6.911;0.6900;0.109783;-0.324932;6.285107;6.000000;
-6.801;0.7000;0.110123;-0.327185;6.356529;6.000000;
-6.690;0.7100;0.110473;-0.329438;6.426936;6.000000;
-6.580;0.7200;0.110832;-0.331692;6.496318;6.000000;
-6.469;0.7300;0.111201;-0.333945;6.564666;6.000000;
-6.359;0.7400;0.111581;-0.336199;6.631974;6.000000;
-6.248;0.7500;0.111970;-0.338452;6.698233;6.000000;
