15,0,0.08,0.04,0
15,0.048706035,0.077709,0.039943,0.094757461
15,0.103465625,0.074501,0.039594,0.194683349
15,0.159565112,0.071427,0.039291,0.290072975
15,0.21110041,0.068856,0.039107,0.371686139
15,0.264496082,0.065264,0.038404,0.449486311
15,0.319236989,0.062669,0.038071,0.525498748
15,0.370235794,0.058562,0.037018,0.585708266
15,0.419123329,0.055335,0.036174,0.641128695
15,0.470607913,0.052309,0.035412,0.695160662
15,0.520309529,0.048698,0.034253,0.739731802
15,0.558461877,0.045275,0.033023,0.765659131
15,0.612938541,0.041625,0.031793,0.80249007
15,0.666398272,0.037831,0.030422,0.82869348
15,0.713065102,0.03384,0.02883,0.836979641
15,0.774331998,0.029018,0.026836,0.837291918
15,0.829852287,0.024271,0.024658,0.816828001
15,0.886424207,0.019702,0.022464,0.777436331
15,0.931596332,0.016391,0.020796,0.734265987
15,0.995962072,0.011253,0.017974,0.623542962
15,1.051677206,0.006928,0.015606,0.466872977
15,1.095397331,0.002837,0.013281,0.233991584
15,1.151929215,-0.002355,0.010403,-0.260770288
15,1.2,-0.007017,0.007852,-1.0723892
30,0.5,0.1,0.08,0.625
30,0.540588362,0.097367181,0.079929078,0.658528364
30,0.586221354,0.093680545,0.079494836,0.690831487
30,0.632970927,0.090147902,0.07911783,0.721215447
30,0.675917008,0.087193307,0.078888889,0.747068948
30,0.720413402,0.083065378,0.078014184,0.767058093
30,0.766030824,0.080083202,0.077599851,0.790545352
30,0.808529828,0.075363435,0.07628966,0.798713544
30,0.849269441,0.071654964,0.075239517,0.808808634
30,0.892173261,0.068177483,0.074291402,0.818750557
30,0.933591274,0.064027719,0.072849322,0.820539134
30,0.965384898,0.060094005,0.0713189,0.813442782
30,1.010782118,0.055899422,0.069788478,0.809619833
30,1.055331893,0.051539354,0.068082618,0.79889884
30,1.094220918,0.046952894,0.066101779,0.777238369
30,1.145276665,0.041411448,0.063620754,0.745473174
30,1.191543572,0.035956192,0.060910788,0.703379019
30,1.238686839,0.030705494,0.058180913,0.653727994
30,1.276330276,0.026900491,0.056105512,0.611952543
30,1.329968393,0.020995897,0.052594252,0.530930264
30,1.376397672,0.016025604,0.049647879,0.444280903
30,1.412831109,0.011324224,0.046755008,0.342192561
30,1.459941013,0.005357574,0.04317407,0.181167579
30,1.5,0,0.04,0
45,0.75,1,1.2,0.625
45,0.833206143,0.971038992,1.19858156,0.675027616
45,0.926753776,0.930485997,1.189896728,0.724711138
45,1.0225904,0.891626923,1.182356601,0.771145635
45,1.110629867,0.859126378,1.177777778,0.810145541
45,1.201847473,0.813719158,1.160283688,0.842868278
45,1.295363189,0.780915223,1.151997014,0.878100222
45,1.382486148,0.728997782,1.125793206,0.895217106
45,1.466002353,0.688204604,1.104790345,0.913213601
45,1.553955186,0.649952308,1.085828045,0.930162712
45,1.638862111,0.604304906,1.056986438,0.936977409
45,1.70403904,0.561034051,1.026378002,0.93145403
45,1.797103342,0.514893641,0.995769566,0.929248207
45,1.888430382,0.466932898,0.961652358,0.916932469
45,1.968152883,0.416481837,0.922035585,0.889011163
45,2.072817163,0.355525932,0.87241508,0.844712878
45,2.167664323,0.295518117,0.818215752,0.782903626
45,2.26430802,0.237760438,0.763618266,0.7050157
45,2.341477067,0.195905398,0.72211024,0.635232643
45,2.451435206,0.130954871,0.651885032,0.49246012
45,2.546615227,0.076281646,0.592957571,0.327611976
45,2.621303774,0.024566464,0.535100162,0.120344133
45,2.717879076,-0.041066688,0.463481399,-0.240817199
45,2.8,-0.1,0.4,-0.7
